integration time 500,000 ms
average 10
laser operation power 8 mW continuous
wavelength nm vs intensity


1.977372437e+02,7.802376058e-03
1.979420776e+02,3.413755912e-03
1.981469269e+02,1.284762518e-03
1.983517914e+02,2.750480548e-03
1.985566711e+02,-1.240739133e-03
1.987615662e+02,6.299130153e-03
1.989664612e+02,3.813566407e-03
1.991713867e+02,4.382318351e-03
1.993763123e+02,-3.588982217e-04
1.995812531e+02,-2.760109201e-04
1.997861938e+02,6.999164820e-03
1.999911652e+02,6.853173021e-03
2.001961517e+02,3.125233343e-03
2.004011383e+02,3.776401281e-03
2.006061401e+02,6.246349658e-04
2.008111572e+02,6.426298525e-03
2.010161743e+02,1.963789342e-03
2.012212219e+02,3.811947303e-03
2.014262695e+02,2.979958616e-02
2.016313477e+02,9.558073245e-03
2.018364258e+02,9.326689877e-03
2.020415039e+02,1.708597527e-03
2.022466125e+02,3.254958661e-03
2.024517365e+02,6.347470917e-03
2.026568604e+02,1.071949839e-03
2.028619995e+02,6.940824678e-04
2.030671539e+02,6.785661913e-03
2.032723236e+02,5.655339453e-03
2.034774933e+02,6.638521794e-03
2.036826935e+02,1.188245788e-02
2.038878937e+02,3.420693800e-03
2.040931091e+02,4.114383366e-03
2.042983398e+02,8.900581859e-03
2.045035858e+02,2.420875942e-03
2.047088318e+02,4.317587242e-03
2.049141083e+02,1.979804802e-04
2.051193848e+02,2.954635071e-03
2.053246765e+02,2.759247785e-03
2.055299835e+02,1.213972806e-03
2.057352905e+02,4.700130317e-03
2.059406281e+02,2.358471509e-03
2.061459656e+02,4.493535496e-03
2.063513184e+02,5.964317359e-03
2.065566864e+02,2.713738708e-03
2.067620697e+02,3.484455869e-03
2.069674683e+02,3.974128980e-03
2.071728668e+02,7.817997597e-03
2.073782806e+02,6.732909475e-03
2.075837097e+02,4.563006107e-03
2.077891541e+02,9.450491634e-04
2.079946136e+02,7.347912528e-03
2.082000732e+02,1.076485869e-02
2.084055634e+02,6.644928362e-03
2.086110535e+02,1.167772524e-02
2.088165588e+02,1.834185096e-03
2.090220795e+02,1.102977432e-02
2.092276001e+02,4.555011168e-03
2.094331512e+02,8.243835531e-03
2.096387024e+02,1.332615595e-02
2.098442688e+02,5.146143492e-03
2.100498505e+02,4.799943883e-03
2.102554474e+02,6.228899118e-03
2.104610443e+02,2.839795547e-03
2.106666718e+02,-2.253043931e-05
2.108722992e+02,4.039077088e-03
2.110779419e+02,9.129288606e-03
2.112835999e+02,1.170410658e-03
2.114892578e+02,3.578279866e-03
2.116949463e+02,4.795897286e-03
2.119006348e+02,2.420960460e-03
2.121063385e+02,2.698258730e-03
2.123120575e+02,5.588655826e-03
2.125177917e+02,1.325653773e-02
2.127235260e+02,2.035732847e-03
2.129292908e+02,6.457793061e-03
2.131350555e+02,4.254668485e-03
2.133408356e+02,6.873612758e-03
2.135466309e+02,3.354892833e-03
2.137524261e+02,6.577942055e-03
2.139582520e+02,4.620539024e-03
2.141640778e+02,4.254254512e-03
2.143699188e+02,1.836656826e-03
2.145757751e+02,8.140011691e-03
2.147816467e+02,7.522669621e-03
2.149875336e+02,7.684950717e-03
2.151934204e+02,7.655450609e-03
2.153993225e+02,5.547709297e-03
2.156052399e+02,1.725930022e-03
2.158111725e+02,5.299647804e-03
2.160171204e+02,3.788204165e-03
2.162230682e+02,8.947526105e-03
2.164290466e+02,3.076530527e-03
2.166350250e+02,9.372184984e-03
2.168410187e+02,2.034489065e-03
2.170470123e+02,3.354707733e-03
2.172530365e+02,1.370535698e-02
2.174590607e+02,8.405922912e-03
2.176651154e+02,1.341076195e-02
2.178711700e+02,-5.245054490e-04
2.180772247e+02,2.512147650e-03
2.182833099e+02,7.344717626e-03
2.184894104e+02,8.291749400e-04
2.186955109e+02,4.587874282e-03
2.189016266e+02,2.473942703e-03
2.191077576e+02,1.378934830e-02
2.193139038e+02,1.607641578e-03
2.195200500e+02,-4.803430347e-04
2.197262115e+02,4.262891132e-03
2.199324036e+02,9.435164742e-03
2.201385956e+02,4.386322107e-03
2.203448029e+02,3.319786862e-03
2.205510101e+02,4.356238525e-03
2.207572479e+02,1.974152867e-03
2.209634857e+02,4.106174223e-03
2.211697388e+02,6.462764926e-03
2.213760071e+02,4.399375059e-03
2.215822906e+02,1.104640868e-02
2.217885742e+02,7.673268206e-03
2.219948730e+02,5.305833649e-03
2.222012024e+02,5.867527798e-03
2.224075317e+02,5.700305104e-03
2.226138611e+02,3.934736829e-03
2.228202209e+02,7.534811739e-03
2.230265808e+02,6.937547121e-03
2.232329712e+02,7.653912995e-03
2.234393616e+02,4.275602754e-03
2.236457672e+02,9.290212765e-03
2.238521729e+02,7.238836843e-04
2.240586090e+02,3.137677675e-03
2.242650452e+02,1.911487663e-03
2.244714966e+02,9.165438823e-03
2.246779633e+02,5.908634514e-03
2.248844452e+02,3.067083890e-03
2.250909424e+02,6.329167169e-03
2.252974396e+02,7.883207873e-03
2.255039520e+02,1.061987318e-02
2.257104797e+02,5.628773943e-03
2.259170227e+02,4.861980211e-03
