integration time 1.000,000 ms
average 50
LED operation voltage 3V
wavelength nm vs intensity

1.973276062e+02,7.725437172e-03
1.975324097e+02,-1.164028537e-03
1.977372437e+02,7.101159077e-03
1.979420776e+02,1.416948158e-03
1.981469269e+02,-3.742973087e-03
1.983517914e+02,-4.085291584e-04
1.985566711e+02,-8.353092708e-03
1.987615662e+02,6.800065283e-03
1.989664612e+02,2.524014097e-03
1.991713867e+02,3.896119772e-03
1.993763123e+02,-6.324907765e-03
1.995812531e+02,-5.814416334e-03
1.997861938e+02,7.450716104e-03
1.999911652e+02,5.176652689e-03
2.001961517e+02,1.075235545e-03
2.004011383e+02,1.917790971e-03
2.006061401e+02,-5.162392743e-03
2.008111572e+02,6.865582895e-03
2.010161743e+02,-2.163320547e-03
2.012212219e+02,2.559023211e-03
2.014262695e+02,1.400882471e-02
2.016313477e+02,7.434090599e-03
2.018364258e+02,8.956422098e-03
2.020415039e+02,-1.495799283e-03
2.022466125e+02,-1.154531841e-03
2.024517365e+02,5.344048142e-03
2.026568604e+02,-2.989158267e-03
2.028619995e+02,-4.980023950e-03
2.030671539e+02,7.114149630e-03
2.032723236e+02,6.421746686e-03
2.034774933e+02,7.725528907e-03
2.036826935e+02,1.278482564e-02
2.038878937e+02,1.422043075e-03
2.040931091e+02,2.468068153e-03
2.042983398e+02,7.922578603e-03
2.045035858e+02,-6.593421567e-04
2.047088318e+02,3.890751861e-03
2.049141083e+02,-4.726920277e-03
2.051193848e+02,4.250129277e-04
2.053246765e+02,2.858350927e-04
2.055299835e+02,-2.867899137e-03
2.057352905e+02,3.954306245e-03
2.059406281e+02,-1.427890151e-03
2.061459656e+02,5.042470526e-03
2.063513184e+02,7.006919011e-03
2.065566864e+02,6.251365412e-04
2.067620697e+02,1.492053270e-03
2.069674683e+02,2.718128264e-03
2.071728668e+02,8.143639192e-03
2.073782806e+02,7.389611565e-03
2.075837097e+02,3.702586517e-03
2.077891541e+02,-3.820802085e-03
2.079946136e+02,8.849415928e-03
2.082000732e+02,1.397733204e-02
2.084055634e+02,6.226094905e-03
2.086110535e+02,1.328132208e-02
2.088165588e+02,-2.642454812e-03
2.090220795e+02,8.169248700e-03
2.092276001e+02,2.968610730e-03
2.094331512e+02,8.034490049e-03
2.096387024e+02,1.659700647e-02
2.098442688e+02,3.226655535e-03
2.100498505e+02,3.342047799e-03
2.102554474e+02,4.186119884e-03
2.104610443e+02,-3.364681324e-04
2.106666718e+02,-5.711307283e-03
2.108722992e+02,2.277138410e-03
2.110779419e+02,1.051698066e-02
2.112835999e+02,-3.800199134e-03
2.114892578e+02,2.042905195e-03
2.116949463e+02,3.993811086e-03
2.119006348e+02,-3.950220125e-04
2.121063385e+02,6.314702332e-04
2.123120575e+02,6.690711714e-03
