integration time 500,000 ms
average 10
laser operation power 7.61 mW continuous
wavelength nm vs intensity



1.973276062e+02,2.763802186e-03
1.975324097e+02,-8.021725807e-04
1.977372437e+02,5.360986106e-03
1.979420776e+02,-2.662457118e-04
1.981469269e+02,-1.935863984e-03
1.983517914e+02,-1.131973695e-03
1.985566711e+02,-5.398775917e-03
1.987615662e+02,2.495838795e-03
1.989664612e+02,-5.960468552e-04
1.991713867e+02,1.527047949e-03
1.993763123e+02,-2.677916549e-03
1.995812531e+02,-3.894058289e-03
1.997861938e+02,4.763221834e-03
1.999911652e+02,2.949315356e-03
2.001961517e+02,6.613199948e-04
2.004011383e+02,-1.837954333e-04
2.006061401e+02,-3.172618337e-03
2.008111572e+02,3.114216030e-03
2.010161743e+02,-1.049523475e-03
2.012212219e+02,1.717714326e-06
2.014262695e+02,2.537579276e-02
2.016313477e+02,4.268520046e-03
2.018364258e+02,5.793850403e-03
2.020415039e+02,-1.008298248e-03
2.022466125e+02,-9.876857512e-04
2.024517365e+02,3.629530314e-03
2.026568604e+02,-2.162602264e-03
2.028619995e+02,-3.172618337e-03
2.030671539e+02,5.793850403e-03
2.032723236e+02,2.207262907e-03
2.034774933e+02,3.753205761e-03
2.036826935e+02,7.484081201e-03
2.038878937e+02,7.231577183e-04
2.040931091e+02,2.434001071e-03
2.042983398e+02,5.443436559e-03
2.045035858e+02,-1.503000036e-03
2.047088318e+02,1.238471945e-03
2.049141083e+02,-4.594885744e-03
2.051193848e+02,8.674457204e-04
2.053246765e+02,-1.688513090e-03
2.055299835e+02,-3.832220566e-03
2.057352905e+02,1.671336009e-03
2.059406281e+02,-1.255649142e-03
2.061459656e+02,5.788697163e-04
2.063513184e+02,3.114216030e-03
2.065566864e+02,-5.960468552e-04
2.067620697e+02,8.468331071e-04
2.069674683e+02,1.047805708e-04
2.071728668e+02,4.742609337e-03
2.073782806e+02,4.144844599e-03
2.075837097e+02,3.526467364e-03
2.077891541e+02,-2.141989768e-03
2.079946136e+02,5.175473168e-03
2.082000732e+02,7.071829867e-03
2.084055634e+02,2.434001071e-03
2.086110535e+02,7.731432095e-03
2.088165588e+02,-2.739754273e-03
2.090220795e+02,8.267358877e-03
2.092276001e+02,3.727439907e-04
2.094331512e+02,4.083006643e-03
2.096387024e+02,8.597159758e-03
2.098442688e+02,1.547660562e-03
2.100498505e+02,9.911211673e-04
2.102554474e+02,2.743189689e-03
2.104610443e+02,-1.173198805e-03
2.106666718e+02,-3.337518778e-03
2.108722992e+02,3.521314356e-04
2.110779419e+02,6.762641016e-03
2.112835999e+02,-2.842817223e-03
2.114892578e+02,-4.723714374e-04
2.116949463e+02,9.705085540e-04
2.119006348e+02,-1.461774809e-03
2.121063385e+02,-1.296874252e-03
2.123120575e+02,9.911211673e-04
2.125177917e+02,8.885735646e-03
2.127235260e+02,-2.121377038e-03
2.129292908e+02,3.196666250e-03
2.131350555e+02,4.758068535e-04
2.133408356e+02,3.340954194e-03
2.135466309e+02,-6.991096889e-04
2.137524261e+02,2.289713128e-03
2.139582520e+02,2.310325624e-03
2.141640778e+02,5.582571612e-04
2.143699188e+02,-3.028330160e-03
2.145757751e+02,4.763221834e-03
2.147816467e+02,5.381598603e-03
2.149875336e+02,5.175473168e-03
2.151934204e+02,4.454032984e-03
2.153993225e+02,2.351550851e-03
2.156052399e+02,2.078434336e-04
2.158111725e+02,8.468331071e-04
2.160171204e+02,5.582571612e-04
2.162230682e+02,5.299148615e-03
2.164290466e+02,-1.461774809e-03
2.166350250e+02,5.093022715e-03
2.168410187e+02,-2.719141776e-03
2.170470123e+02,-8.073257050e-05
2.172530365e+02,1.123556867e-02
2.174590607e+02,4.577708431e-03
2.176651154e+02,1.028739102e-02
2.178711700e+02,-5.295712966e-03
2.180772247e+02,-4.723714374e-04
2.182833099e+02,4.392195493e-03
2.184894104e+02,-4.450597800e-03
2.186955109e+02,2.124812454e-03
2.189016266e+02,-9.876857512e-04
2.191077576e+02,1.059657894e-02
2.193139038e+02,-2.348115435e-03
2.195200500e+02,-4.368147347e-03
2.197262115e+02,1.547660562e-03
2.199324036e+02,5.752624944e-03
2.201385956e+02,8.056079969e-04
2.203448029e+02,-2.044080029e-04
2.205510101e+02,-1.997701591e-03
2.207572479e+02,-1.441162312e-03
2.209634857e+02,2.186650177e-03
2.211697388e+02,2.990540583e-03
2.213760071e+02,1.856849180e-03
2.215822906e+02,7.257342804e-03
2.217885742e+02,3.114216030e-03
2.219948730e+02,2.227875404e-03
2.222012024e+02,1.176634221e-03
2.224075317e+02,3.072990803e-03
2.226138611e+02,-1.013451401e-04
2.228202209e+02,6.206101738e-03
2.230265808e+02,4.989959765e-03
2.232329712e+02,4.989959765e-03
2.234393616e+02,7.231577183e-04
2.236457672e+02,5.422824062e-03
2.238521729e+02,-1.770963427e-03
2.240586090e+02,2.284560032e-04
2.242650452e+02,-7.403348573e-04
2.244714966e+02,5.608337000e-03
2.246779633e+02,2.289713128e-03
2.248844452e+02,2.233028499e-05
2.250909424e+02,1.444597729e-03
2.252974396e+02,4.845671821e-03
2.255039520e+02,8.061232977e-03
2.257104797e+02,3.052378306e-03
2.259170227e+02,3.011153080e-03
2.261235809e+02,-2.780979499e-03
2.263301392e+02,3.526467364e-03
2.265367126e+02,6.824478973e-03
2.267433014e+02,2.454613801e-03
2.269499054e+02,2.660739468e-03
2.271565247e+02,-3.110780613e-03
2.273631592e+02,-3.028330160e-03
2.275697937e+02,-1.049523475e-03
2.277764435e+02,-2.409953158e-03
2.279831085e+02,2.495838795e-03
2.281897888e+02,2.269100631e-03
2.283964691e+02,-1.049523475e-03
2.286031799e+02,1.630110899e-03
2.288098907e+02,2.062974731e-03
2.290166168e+02,-3.048942890e-03
2.292233582e+02,1.217859448e-03
2.294301147e+02,1.047805708e-04
2.296368713e+02,3.856268479e-03
2.298436432e+02,4.969347268e-03
2.300504303e+02,8.416800119e-05
2.302572327e+02,-6.012000085e-05
2.304640503e+02,3.547079861e-03
2.306708679e+02,-2.451178152e-03
2.308777161e+02,5.979363341e-03
2.310845642e+02,-9.876857512e-04
2.312914276e+02,-4.306309856e-03
2.314983063e+02,-3.693085746e-04
2.317051849e+02,-1.461774809e-03
2.319120941e+02,7.849954418e-04
2.321190033e+02,2.743189689e-03
2.323259277e+02,3.109062964e-04
2.325328674e+02,2.660739468e-03
2.327398071e+02,-5.960468552e-04
2.329467773e+02,-2.760366770e-03
2.331537476e+02,8.555934764e-03
2.333607330e+02,2.949315356e-03
2.335677338e+02,-7.815599674e-04
2.337747498e+02,7.607756648e-03
2.339817657e+02,1.774398843e-03
2.341888123e+02,8.416800119e-05
2.343958588e+02,1.341534895e-03
2.346029205e+02,1.939299400e-03
2.348099823e+02,5.958750844e-03
2.350170746e+02,-5.960468552e-04
2.352241669e+02,2.681351965e-03
2.354312897e+02,1.671336009e-03
2.356384125e+02,1.795011456e-03
2.358455353e+02,4.551942693e-04
2.360526886e+02,6.865703966e-03
2.362598419e+02,1.753786230e-03
2.364670258e+02,3.196666250e-03
2.366742096e+02,2.495838795e-03
2.368814087e+02,-2.780979499e-03
2.370886078e+02,4.062394146e-03
2.372958374e+02,1.047805708e-04
2.375030670e+02,-2.059539314e-03
2.377103119e+02,-1.812188537e-03
2.379175720e+02,-2.038926817e-03
2.381248474e+02,-2.698529046e-03
2.383321228e+02,-1.626675366e-03
2.385394135e+02,8.040620945e-03
2.387467346e+02,-1.131973695e-03
2.389540558e+02,3.547079861e-03
2.391613770e+02,3.815043485e-03
2.393687286e+02,-1.626675366e-03
2.395760803e+02,3.109062964e-04
2.397834473e+02,-1.214424032e-03
2.399908295e+02,-2.038926817e-03
2.401982269e+02,1.568273176e-03
2.404056396e+02,4.758068535e-04
2.406130524e+02,3.794430755e-03
2.408204803e+02,1.176634221e-03
2.410279236e+02,2.166037681e-03
2.412353821e+02,2.722577192e-03
2.414428558e+02,2.578289015e-03
2.416503296e+02,1.630110899e-03
2.418578339e+02,2.969928086e-03
2.420653381e+02,1.650723396e-03
