integration time 500,000 ms
average 10
laser operation power 8 mW continuous
wavelength nm vs intensity


1.973276062e+02,3.275559517e-03
1.975324097e+02,-1.070572529e-03
1.977372437e+02,4.778163042e-03
1.979420776e+02,2.683287021e-04
1.981469269e+02,-1.727997907e-03
1.983517914e+02,-2.518669644e-04
1.985566711e+02,-4.424466286e-03
1.987615662e+02,3.432451980e-03
1.989664612e+02,9.257518104e-04
1.991713867e+02,1.471948461e-03
1.993763123e+02,-3.168371273e-03
1.995812531e+02,-3.417857690e-03
1.997861938e+02,4.084097221e-03
1.999911652e+02,4.219056573e-03
2.001961517e+02,1.988789736e-04
2.004011383e+02,4.210693296e-04
2.006061401e+02,-2.738364274e-03
2.008111572e+02,3.950214945e-03
2.010161743e+02,-1.111536752e-03
2.012212219e+02,1.186283305e-03
2.014262695e+02,2.639408223e-02
2.016313477e+02,6.229225080e-03
2.018364258e+02,6.531231105e-03
2.020415039e+02,-1.192432246e-03
2.022466125e+02,2.934063959e-04
2.024517365e+02,3.181890352e-03
2.026568604e+02,-1.617250382e-03
2.028619995e+02,-2.184051089e-03
2.030671539e+02,3.890128806e-03
2.032723236e+02,2.946917433e-03
2.034774933e+02,3.275149269e-03
2.036826935e+02,8.639059961e-03
2.038878937e+02,1.041950658e-03
2.040931091e+02,1.189916278e-03
2.042983398e+02,5.647940096e-03
2.045035858e+02,-7.435183215e-05
2.047088318e+02,1.361033297e-03
2.049141083e+02,-2.600173699e-03
2.051193848e+02,2.659694874e-04
2.053246765e+02,-1.601503027e-04
2.055299835e+02,-1.881120144e-03
2.057352905e+02,1.765877591e-03
2.059406281e+02,-8.538438124e-04
2.061459656e+02,1.690463745e-03
2.063513184e+02,3.352730069e-03
2.065566864e+02,-3.019750584e-04
2.067620697e+02,3.248535504e-04
2.069674683e+02,1.090190839e-03
2.071728668e+02,5.199342500e-03
2.073782806e+02,3.536532400e-03
2.075837097e+02,2.159428550e-03
2.077891541e+02,-2.460977994e-03
2.079946136e+02,4.865040537e-03
2.082000732e+02,7.586715277e-03
2.084055634e+02,3.491063835e-03
2.086110535e+02,8.894949220e-03
2.088165588e+02,-1.056342269e-03
2.090220795e+02,8.167694323e-03
2.092276001e+02,1.342559350e-03
2.094331512e+02,4.972265568e-03
2.096387024e+02,1.041394006e-02
2.098442688e+02,1.985853305e-03
2.100498505e+02,2.068332164e-03
2.102554474e+02,3.058480565e-03
2.104610443e+02,-4.771483655e-04
2.106666718e+02,-3.498077393e-03
2.108722992e+02,9.061766905e-04
2.110779419e+02,6.198582705e-03
2.112835999e+02,-1.907384372e-03
2.114892578e+02,3.344869183e-04
2.116949463e+02,2.077749697e-03
2.119006348e+02,-8.109490736e-04
2.121063385e+02,-2.434278867e-04
2.123120575e+02,2.925133798e-03
2.125177917e+02,9.971575812e-03
2.127235260e+02,-1.210051472e-03
2.129292908e+02,3.190626157e-03
2.131350555e+02,9.719996597e-04
2.133408356e+02,4.021319561e-03
2.135466309e+02,6.545190117e-04
2.137524261e+02,3.435611026e-03
2.139582520e+02,9.687283309e-04
2.141640778e+02,1.467970549e-03
2.143699188e+02,-1.240625512e-03
2.145757751e+02,5.262860563e-03
2.147816467e+02,5.010220688e-03
2.149875336e+02,4.872843623e-03
2.151934204e+02,5.032981746e-03
2.153993225e+02,2.683417872e-03
2.156052399e+02,-7.046369719e-04
2.158111725e+02,2.340917708e-03
2.160171204e+02,8.430317976e-04
2.162230682e+02,6.153501105e-03
2.164290466e+02,-2.875874088e-05
2.166350250e+02,6.099372637e-03
2.168410187e+02,-1.379951835e-03
2.170470123e+02,7.512500742e-04
2.172530365e+02,1.079282630e-02
2.174590607e+02,5.587245803e-03
2.176651154e+02,9.862761945e-03
2.178711700e+02,-3.889763495e-03
2.180772247e+02,-3.841068246e-04
2.182833099e+02,4.773570225e-03
2.184894104e+02,-2.077577636e-03
2.186955109e+02,2.137550386e-03
2.189016266e+02,-1.900031930e-05
2.191077576e+02,1.127731055e-02
2.193139038e+02,-1.261838246e-03
2.195200500e+02,-3.319590120e-03
2.197262115e+02,8.903242997e-04
2.199324036e+02,6.630033255e-03
2.201385956e+02,1.363731804e-03
2.203448029e+02,3.050334635e-04
2.205510101e+02,1.082995674e-03
2.207572479e+02,-1.620889525e-03
2.209634857e+02,1.675381907e-03
2.211697388e+02,3.867550287e-03
2.213760071e+02,1.368020079e-03
2.215822906e+02,8.177394979e-03
2.217885742e+02,4.685753025e-03
2.219948730e+02,2.192622516e-03
2.222012024e+02,2.554982901e-03
2.224075317e+02,2.512763720e-03
2.226138611e+02,9.790343465e-04
2.228202209e+02,4.775392357e-03
2.230265808e+02,4.211680498e-03
2.232329712e+02,5.196235608e-03
2.234393616e+02,1.484287786e-03
2.236457672e+02,6.521392148e-03
2.238521729e+02,-2.456804737e-03
2.240586090e+02,7.346062193e-05
2.242650452e+02,-1.206176705e-03
2.244714966e+02,6.226874888e-03
2.246779633e+02,2.974942792e-03
2.248844452e+02,2.585563925e-04
2.250909424e+02,3.209128277e-03
