integration time 200,000 ms
average 50
LED operation voltage 2.98V
wavelength nm vs intensity

1.973276062e+02,4.214295768e-04
1.975324097e+02,-1.630793413e-04
1.977372437e+02,4.674444499e-04
1.979420776e+02,-1.543842955e-04
1.981469269e+02,1.512586896e-04
1.983517914e+02,-2.911156917e-04
1.985566711e+02,1.769571682e-04
1.987615662e+02,-9.205307288e-05
1.989664612e+02,3.451504745e-04
1.991713867e+02,-5.976229204e-06
1.993763123e+02,2.556263353e-04
1.995812531e+02,-2.255959698e-04
1.997861938e+02,5.064207362e-04
1.999911652e+02,-3.852594091e-05
2.001961517e+02,1.988789736e-04
2.004011383e+02,5.979644993e-05
2.006061401e+02,1.435591257e-04
2.008111572e+02,-1.698344859e-04
2.010161743e+02,2.679271274e-04
2.012212219e+02,-5.737954780e-05
2.014262695e+02,1.548421453e-03
2.016313477e+02,9.546236834e-05
2.018364258e+02,5.289565888e-04
2.020415039e+02,-2.592468809e-04
2.022466125e+02,3.257205535e-04
2.024517365e+02,4.529645594e-05
2.026568604e+02,2.590441145e-04
2.028619995e+02,-3.736513027e-04
2.030671539e+02,3.857998236e-04
2.032723236e+02,2.620153282e-05
2.034774933e+02,4.627136805e-04
2.036826935e+02,3.756003280e-04
2.038878937e+02,3.387308680e-04
2.040931091e+02,-5.202266766e-05
2.042983398e+02,5.598230055e-04
2.045035858e+02,-3.612326982e-04
2.047088318e+02,4.811670515e-04
2.049141083e+02,-2.419121010e-04
2.051193848e+02,3.864703758e-04
2.053246765e+02,-1.499917562e-04
2.055299835e+02,2.152948728e-04
2.057352905e+02,-1.511753362e-04
2.059406281e+02,3.820870770e-04
2.061459656e+02,-3.031960841e-05
2.063513184e+02,3.267588327e-04
2.065566864e+02,-2.248300880e-04
2.067620697e+02,3.282843973e-04
2.069674683e+02,-2.130773501e-04
2.071728668e+02,4.568629956e-04
2.073782806e+02,-1.538913202e-04
2.075837097e+02,4.852848069e-04
2.077891541e+02,-2.329583222e-04
2.079946136e+02,4.763923062e-04
2.082000732e+02,1.426878007e-04
2.084055634e+02,4.213970096e-04
2.086110535e+02,2.019473322e-04
2.088165588e+02,2.124492457e-04
2.090220795e+02,1.935556356e-04
2.092276001e+02,2.856117208e-04
2.094331512e+02,3.965815267e-05
2.096387024e+02,6.482763565e-04
2.098442688e+02,-8.021728718e-05
2.100498505e+02,2.755118767e-04
2.102554474e+02,-2.112114271e-05
2.104610443e+02,3.410501231e-04
2.106666718e+02,-5.144214374e-04
2.108722992e+02,3.003384918e-04
2.110779419e+02,3.029882100e-05
2.112835999e+02,2.542148868e-04
2.114892578e+02,-4.943964086e-05
2.116949463e+02,3.590713022e-04
2.119006348e+02,-1.720569417e-04
2.121063385e+02,2.193542896e-04
2.123120575e+02,-1.674186351e-04
2.125177917e+02,7.593341870e-04
2.127235260e+02,-1.720031723e-04
2.129292908e+02,5.298281321e-04
2.131350555e+02,-1.293258538e-04
2.133408356e+02,4.781362077e-04
2.135466309e+02,-1.633258507e-04
2.137524261e+02,5.377602647e-04
2.139582520e+02,-1.050363062e-04
2.141640778e+02,4.149963206e-04
2.143699188e+02,-3.869180800e-04
2.145757751e+02,6.021336885e-04
2.147816467e+02,5.647775106e-05
2.149875336e+02,6.554713473e-04
2.151934204e+02,5.915681686e-05
2.153993225e+02,3.875131079e-04
2.156052399e+02,-1.878104376e-04
2.158111725e+02,3.341283591e-04
2.160171204e+02,1.092276034e-05
2.162230682e+02,5.141287693e-04
2.164290466e+02,-1.215740485e-04
2.166350250e+02,6.340004620e-04
2.168410187e+02,-8.668917144e-05
2.170470123e+02,4.436827439e-04
2.172530365e+02,2.179014118e-04
2.174590607e+02,5.634512054e-04
2.176651154e+02,2.119736309e-04
2.178711700e+02,1.728709904e-04
2.180772247e+02,-2.244447678e-04
2.182833099e+02,5.256798468e-04
2.184894104e+02,-2.750156855e-04
2.186955109e+02,3.179566993e-04
2.189016266e+02,-2.579979482e-04
2.191077576e+02,8.342200308e-04
2.193139038e+02,-2.567286429e-04
2.195200500e+02,2.563789312e-04
2.197262115e+02,-1.161149121e-04
2.199324036e+02,5.116173415e-04
2.201385956e+02,-3.596604511e-04
2.203448029e+02,3.131873091e-04
2.205510101e+02,-6.065255002e-05
2.207572479e+02,2.435870410e-04
2.209634857e+02,-1.067429475e-04
2.211697388e+02,5.274017458e-04
2.213760071e+02,1.205614353e-05
2.215822906e+02,5.902030971e-04
2.217885742e+02,4.943308159e-05
2.219948730e+02,4.309335491e-04
2.222012024e+02,-1.924644494e-06
2.224075317e+02,4.257549299e-04
2.226138611e+02,-1.221706189e-04
2.228202209e+02,5.534079392e-04
2.230265808e+02,3.399698107e-05
2.232329712e+02,3.664238611e-04
2.234393616e+02,-8.794792666e-05
2.236457672e+02,6.413668161e-04
2.238521729e+02,-3.159692860e-04
2.240586090e+02,2.875741047e-04
2.242650452e+02,-1.970594021e-04
2.244714966e+02,4.561117094e-04
2.246779633e+02,-1.117089851e-04
2.248844452e+02,3.329242463e-04
2.250909424e+02,-4.867999814e-05
2.252974396e+02,4.516873159e-04
2.255039520e+02,1.537768549e-04
2.257104797e+02,4.318508145e-04
2.259170227e+02,-8.973544027e-05
2.261235809e+02,2.493837383e-04
2.263301392e+02,8.123139560e-05
2.265367126e+02,5.993446102e-04
2.267433014e+02,-2.818177454e-04
2.269499054e+02,4.579144297e-04
2.271565247e+02,-2.316974424e-04
2.273631592e+02,2.838884539e-04
2.275697937e+02,-1.598617091e-04
2.277764435e+02,1.631869382e-04
2.279831085e+02,-6.509596278e-05
2.281897888e+02,1.742019958e-04
2.283964691e+02,-1.787823567e-04
2.286031799e+02,5.036462680e-04
2.288098907e+02,-1.783676416e-04
2.290166168e+02,2.192839165e-04
2.292233582e+02,1.551273812e-07
2.294301147e+02,3.298076917e-04
2.296368713e+02,2.124322200e-04
2.298436432e+02,4.754774563e-04
2.300504303e+02,-1.101729722e-04
2.302572327e+02,2.273664140e-04
2.304640503e+02,-1.812251285e-04
2.306708679e+02,2.638647566e-04
2.308777161e+02,7.882106729e-05
2.310845642e+02,3.453174431e-04
2.312914276e+02,-2.542091243e-04
2.314983063e+02,3.505390487e-04
2.317051849e+02,-2.245923242e-04
2.319120941e+02,4.647937021e-04
2.321190033e+02,6.403791485e-05
2.323259277e+02,2.999105491e-04
2.325328674e+02,-1.395834261e-04
2.327398071e+02,3.451461380e-04
2.329467773e+02,-3.103207855e-04
2.331537476e+02,5.916483351e-04
2.333607330e+02,2.475910333e-05
2.335677338e+02,3.201908257e-04
2.337747498e+02,1.479983039e-04
2.339817657e+02,5.084550940e-04
2.341888123e+02,-1.561519166e-04
2.343958588e+02,4.011234269e-04
2.346029205e+02,-1.868291001e-04
2.348099823e+02,5.920369294e-04
2.350170746e+02,-1.587816514e-04
2.352241669e+02,4.372425901e-04
2.354312897e+02,-1.401616901e-04
2.356384125e+02,4.302650632e-04
2.358455353e+02,-4.373264528e-05
2.360526886e+02,5.795118632e-04
2.362598419e+02,2.801378832e-05
2.364670258e+02,4.939697101e-04
2.366742096e+02,-4.166165672e-05
2.368814087e+02,2.718897013e-04
2.370886078e+02,9.572645467e-07
2.372958374e+02,4.613244382e-04
2.375030670e+02,-2.764119417e-04
2.377103119e+02,1.930288563e-04
2.379175720e+02,-3.426437033e-04
2.381248474e+02,3.274194314e-04
2.383321228e+02,-9.635990864e-05
2.385394135e+02,6.661505904e-04
2.387467346e+02,-2.177486022e-04
2.389540558e+02,4.363637709e-04
2.391613770e+02,-4.842481940e-05
2.393687286e+02,3.639487550e-04
2.395760803e+02,-4.859217734e-05
2.397834473e+02,3.226346453e-04
2.399908295e+02,-1.014207664e-04
2.401982269e+02,4.262604052e-04
2.404056396e+02,-2.657838340e-04
2.406130524e+02,5.155194667e-04
2.408204803e+02,-2.132498412e-05
2.410279236e+02,4.568711447e-04
2.412353821e+02,-1.244426094e-04
2.414428558e+02,3.434165556e-04
2.416503296e+02,-1.863039797e-04
2.418578339e+02,6.807245663e-04
2.420653381e+02,-1.605912403e-04
2.422728424e+02,3.066179343e-04
2.424803772e+02,-2.210274688e-04
2.426879272e+02,6.196257309e-04
2.428954773e+02,-3.935946370e-05
2.431030426e+02,3.921002790e-04
2.433106232e+02,-1.774134289e-04
2.435182190e+02,3.712789330e-04
2.437258148e+02,-2.596718841e-04
2.439334259e+02,4.909561248e-04
2.441410675e+02,-1.950365986e-04
2.443487091e+02,6.837475230e-04
2.445563507e+02,2.129724635e-05
2.447640228e+02,3.312369226e-04
2.449716949e+02,2.621754538e-05
2.451793823e+02,4.201146367e-04
2.453870850e+02,6.400082202e-05
2.455948029e+02,5.713555729e-04
2.458025360e+02,-2.069663897e-04
2.460102692e+02,4.591584147e-04
2.462180176e+02,-1.785294153e-04
2.464257813e+02,3.580894845e-04
2.466335602e+02,-1.940100192e-04
2.468413544e+02,4.276672553e-04
2.470491486e+02,-1.850401604e-04
2.472569580e+02,4.346152418e-04
2.474647827e+02,2.246060758e-04
2.476726227e+02,3.962155606e-04
2.478804779e+02,-1.617583912e-04
2.480883331e+02,4.144125851e-04
2.482962036e+02,-1.739989384e-04
2.485041046e+02,4.039859923e-04
2.487119904e+02,-2.355978213e-04
2.489199066e+02,4.879171029e-04
2.491278229e+02,5.821273226e-05
2.493357697e+02,5.655608838e-04
2.495437164e+02,-4.566191274e-05
2.497516785e+02,6.544052740e-04
2.499596405e+02,-3.038604627e-04
2.501676331e+02,5.025801365e-04
2.503756256e+02,-1.469308918e-04
2.505836334e+02,3.927289217e-04
2.507916565e+02,-4.245183300e-05
2.509996948e+02,4.935580073e-04
2.512077332e+02,-4.417524178e-05
2.514158020e+02,1.995125203e-04
2.516238708e+02,-2.331240248e-04
2.518319550e+02,5.482650595e-04
2.520400391e+02,-1.166304719e-04
2.522481537e+02,4.141352256e-04
2.524562683e+02,6.284726987e-05
2.526643982e+02,5.044622812e-04
2.528725433e+02,-1.026539176e-04
2.530807037e+02,4.880471097e-04
2.532888794e+02,-2.620320593e-04
2.534970551e+02,3.029280633e-04
2.537052460e+02,-2.064064756e-05
2.539134521e+02,3.843010054e-04
2.541216736e+02,-2.152918569e-05
2.543298950e+02,3.920663148e-04
2.545381470e+02,9.740875612e-06
2.547463989e+02,1.754092518e-04
2.549546661e+02,-2.012723708e-04
2.551629333e+02,3.639730858e-04
2.553712311e+02,-2.750265412e-04
2.555795288e+02,4.935771576e-04
2.557878571e+02,-2.434900234e-04
2.559961853e+02,2.992715163e-04
2.562045288e+02,8.027402509e-05
2.564128723e+02,3.638168855e-04
2.566212463e+02,-1.721433364e-04
2.568296204e+02,4.463946098e-04
2.570379944e+02,-4.466200699e-05
2.572463989e+02,3.340439871e-04
2.574548035e+02,-2.745974634e-04
2.576632385e+02,6.428023917e-04
2.578716736e+02,-1.400446581e-05
2.580801392e+02,1.545797568e-04
2.582886047e+02,4.918884952e-04
2.584970703e+02,2.341828949e-04
2.587055359e+02,-6.227943231e-05
2.589140625e+02,3.727798758e-04
2.591225586e+02,-3.973875428e-04
2.593310852e+02,3.743355628e-04
2.595396118e+02,-2.374501855e-05
2.597481689e+02,3.822138824e-04
2.599567261e+02,-6.846553151e-05
2.601653137e+02,3.164162044e-04
2.603738708e+02,-5.851893729e-05
2.605824890e+02,4.599298700e-04
2.607910767e+02,-2.071136551e-04
2.609996948e+02,5.600636941e-04
2.612083435e+02,-4.574915874e-05
2.614169922e+02,3.827865294e-04
2.616256409e+02,-1.338293805e-04
2.618343201e+02,2.575858671e-04
2.620429993e+02,-9.649906860e-05
2.622516785e+02,3.715479397e-04
2.624603882e+02,-3.333822533e-04
2.626691284e+02,4.255776876e-04
2.628778381e+02,-1.004671285e-04
2.630865784e+02,2.112130605e-04
2.632953491e+02,-2.913130447e-04
2.635041199e+02,4.532118910e-04
2.637128906e+02,-1.316923044e-05
2.639216919e+02,2.335949684e-04
2.641304932e+02,-1.403882488e-04
2.643392944e+02,6.599649787e-04
2.645481262e+02,-2.291148849e-04
2.647569580e+02,2.457322844e-04
2.649658203e+02,-6.552357081e-05
2.651746826e+02,4.860569898e-04
2.653835754e+02,3.345078585e-05
2.655924683e+02,6.125276559e-04
2.658013611e+02,-1.911337458e-04
2.660102844e+02,2.625706838e-04
2.662192078e+02,5.968532423e-05
