integration time 250,000 ms
average 50
LED operation voltage 2.88V
wavelength nm vs intensity

1.973276062e+02,5.639243405e-03
1.975324097e+02,2.787937410e-03
1.977372437e+02,6.196769886e-03
1.979420776e+02,3.691425314e-03
1.981469269e+02,2.749466570e-03
1.983517914e+02,3.209344577e-03
1.985566711e+02,1.091247075e-03
1.987615662e+02,5.239304155e-03
1.989664612e+02,4.172651563e-03
1.991713867e+02,4.126630723e-03
1.993763123e+02,1.914149965e-03
1.995812531e+02,1.661810442e-03
1.997861938e+02,5.886801984e-03
1.999911652e+02,5.649109837e-03
2.001961517e+02,4.016384017e-03
2.004011383e+02,3.811142873e-03
2.006061401e+02,2.303779824e-03
2.008111572e+02,5.319563206e-03
2.010161743e+02,3.252635011e-03
2.012212219e+02,4.070812836e-03
2.014262695e+02,2.065114863e-02
2.016313477e+02,6.902595516e-03
2.018364258e+02,7.276366930e-03
2.020415039e+02,2.880405635e-03
2.022466125e+02,3.444086527e-03
2.024517365e+02,5.690092687e-03
2.026568604e+02,2.876435639e-03
2.028619995e+02,1.946344972e-03
2.030671539e+02,5.950123072e-03
2.032723236e+02,5.212279037e-03
2.034774933e+02,5.815972108e-03
2.036826935e+02,8.472494781e-03
2.038878937e+02,3.880862147e-03
2.040931091e+02,4.140525125e-03
2.042983398e+02,6.979212165e-03
2.045035858e+02,3.117060289e-03
2.047088318e+02,4.761505406e-03
2.049141083e+02,2.028497402e-03
2.051193848e+02,3.870792221e-03
2.053246765e+02,3.300255397e-03
2.055299835e+02,3.097109729e-03
2.057352905e+02,4.524098709e-03
2.059406281e+02,3.578876378e-03
2.061459656e+02,4.639960360e-03
2.063513184e+02,5.792841781e-03
2.065566864e+02,3.293386661e-03
2.067620697e+02,4.224582110e-03
2.069674683e+02,4.155451432e-03
2.071728668e+02,6.538078189e-03
2.073782806e+02,5.621826742e-03
2.075837097e+02,4.771862645e-03
2.077891541e+02,2.413350623e-03
2.079946136e+02,6.376848090e-03
2.082000732e+02,8.029773831e-03
2.084055634e+02,5.888578016e-03
2.086110535e+02,8.689029142e-03
2.088165588e+02,3.055155277e-03
2.090220795e+02,8.326449431e-03
2.092276001e+02,4.666467663e-03
2.094331512e+02,6.617648527e-03
2.096387024e+02,8.657653816e-03
2.098442688e+02,4.933403805e-03
2.100498505e+02,4.994256888e-03
2.102554474e+02,5.267756060e-03
2.104610443e+02,3.748347983e-03
2.106666718e+02,1.893080422e-03
2.108722992e+02,4.650384653e-03
2.110779419e+02,7.170907687e-03
2.112835999e+02,2.864137292e-03
2.114892578e+02,4.068942741e-03
2.116949463e+02,4.950677976e-03
2.119006348e+02,3.342203796e-03
2.121063385e+02,4.164292477e-03
2.123120575e+02,5.259328522e-03
2.125177917e+02,9.324085899e-03
2.127235260e+02,3.096546745e-03
2.129292908e+02,5.810867995e-03
2.131350555e+02,4.616517108e-03
2.133408356e+02,6.260606926e-03
2.135466309e+02,3.673715517e-03
2.137524261e+02,5.672406871e-03
2.139582520e+02,4.339246545e-03
2.141640778e+02,4.834146239e-03
2.143699188e+02,2.816857072e-03
2.145757751e+02,6.770879030e-03
2.147816467e+02,6.282531656e-03
2.149875336e+02,6.723636296e-03
2.151934204e+02,6.544351578e-03
2.153993225e+02,5.374483299e-03
2.156052399e+02,3.165452741e-03
2.158111725e+02,5.305269733e-03
2.160171204e+02,4.049003124e-03
2.162230682e+02,7.240378298e-03
2.164290466e+02,3.777016420e-03
2.166350250e+02,7.587427273e-03
2.168410187e+02,2.959464677e-03
2.170470123e+02,4.358891863e-03
2.172530365e+02,9.571732953e-03
2.174590607e+02,7.092082873e-03
2.176651154e+02,9.514706209e-03
2.178711700e+02,2.111129230e-03
2.180772247e+02,3.503702581e-03
2.182833099e+02,6.442596670e-03
2.184894104e+02,2.463631332e-03
2.186955109e+02,4.937666468e-03
2.189016266e+02,3.704391886e-03
2.191077576e+02,1.003157441e-02
2.193139038e+02,3.154575359e-03
2.195200500e+02,1.956782071e-03
2.197262115e+02,4.490724765e-03
2.199324036e+02,7.549338974e-03
2.201385956e+02,4.495905712e-03
2.203448029e+02,4.298066255e-03
2.205510101e+02,4.478505347e-03
2.207572479e+02,3.348776372e-03
2.209634857e+02,4.471163265e-03
2.211697388e+02,6.234899629e-03
2.213760071e+02,4.757508636e-03
2.215822906e+02,8.404142223e-03
2.217885742e+02,6.409824360e-03
2.219948730e+02,5.223875400e-03
2.222012024e+02,5.467941053e-03
2.224075317e+02,5.678496324e-03
2.226138611e+02,4.586008843e-03
2.228202209e+02,6.894313730e-03
2.230265808e+02,5.875793751e-03
2.232329712e+02,6.837598979e-03
2.234393616e+02,4.675317556e-03
2.236457672e+02,7.607797626e-03
2.238521729e+02,2.582995454e-03
2.240586090e+02,4.018220585e-03
2.242650452e+02,3.083964577e-03
2.244714966e+02,7.643806748e-03
2.246779633e+02,5.250556394e-03
2.248844452e+02,3.996874671e-03
2.250909424e+02,5.373090971e-03
2.252974396e+02,6.689701695e-03
2.255039520e+02,7.799036801e-03
2.257104797e+02,5.413182080e-03
2.259170227e+02,5.040084478e-03
2.261235809e+02,2.476198832e-03
2.263301392e+02,5.790681578e-03
2.265367126e+02,7.846460678e-03
2.267433014e+02,5.067749880e-03
2.269499054e+02,5.256182980e-03
2.271565247e+02,3.157204250e-03
2.273631592e+02,3.177686362e-03
2.275697937e+02,3.562355880e-03
2.277764435e+02,3.001918318e-03
2.279831085e+02,6.165140308e-03
2.281897888e+02,4.980845843e-03
2.283964691e+02,3.134121886e-03
2.286031799e+02,4.949455149e-03
2.288098907e+02,5.521914456e-03
2.290166168e+02,2.438146621e-03
2.292233582e+02,4.735908471e-03
2.294301147e+02,4.293016158e-03
2.296368713e+02,7.054744288e-03
2.298436432e+02,6.837589666e-03
2.300504303e+02,3.883103142e-03
2.302572327e+02,5.007495172e-03
2.304640503e+02,5.666860379e-03
2.306708679e+02,3.663027426e-03
2.308777161e+02,6.222023163e-03
2.310845642e+02,3.848445369e-03
2.312914276e+02,2.561379690e-03
2.314983063e+02,3.925727680e-03
2.317051849e+02,3.162285546e-03
2.319120941e+02,4.871349782e-03
2.321190033e+02,5.413374398e-03
2.323259277e+02,4.247463774e-03
2.325328674e+02,5.324230064e-03
2.327398071e+02,4.346130881e-03
2.329467773e+02,2.248335630e-03
2.331537476e+02,8.457827382e-03
2.333607330e+02,6.024901755e-03
2.335677338e+02,3.722498892e-03
2.337747498e+02,9.503622539e-03
2.339817657e+02,5.780393258e-03
2.341888123e+02,4.249968566e-03
2.343958588e+02,5.857886747e-03
2.346029205e+02,5.387653131e-03
2.348099823e+02,7.055869326e-03
2.350170746e+02,3.954315092e-03
2.352241669e+02,5.217338912e-03
2.354312897e+02,4.416186363e-03
2.356384125e+02,5.760585424e-03
2.358455353e+02,3.736526007e-03
2.360526886e+02,8.152463473e-03
2.362598419e+02,5.463058595e-03
2.364670258e+02,6.220772862e-03
2.366742096e+02,5.300636403e-03
2.368814087e+02,3.248776309e-03
2.370886078e+02,5.868710112e-03
2.372958374e+02,5.075470544e-03
2.375030670e+02,2.456918824e-03
2.377103119e+02,3.865938634e-03
2.379175720e+02,2.925731707e-03
2.381248474e+02,3.330931300e-03
2.383321228e+02,3.598744981e-03
2.385394135e+02,8.425853215e-03
2.387467346e+02,3.037804039e-03
2.389540558e+02,5.782240536e-03
2.391613770e+02,5.821621511e-03
2.393687286e+02,4.035758786e-03
2.395760803e+02,5.067898892e-03
2.397834473e+02,3.771114629e-03
2.399908295e+02,3.570742439e-03
2.401982269e+02,5.224684253e-03
2.404056396e+02,4.912359174e-03
2.406130524e+02,6.927081384e-03
2.408204803e+02,3.482772037e-03
2.410279236e+02,6.037380081e-03
2.412353821e+02,6.122060120e-03
