integration time 200,000 ms
average 10
LED operation voltage 2.98V
wavelength nm vs intensity

1.973276062e+02,7.927714032e-04
1.975324097e+02,-1.267509419e-03
1.977372437e+02,4.033985606e-04
1.979420776e+02,-3.847644257e-04
1.981469269e+02,4.282704613e-04
1.983517914e+02,2.431764733e-04
1.985566711e+02,2.555482206e-04
1.987615662e+02,3.509638773e-04
1.989664612e+02,-3.557192977e-04
1.991713867e+02,1.585823135e-03
1.993763123e+02,4.384706845e-04
1.995812531e+02,-8.213488618e-04
1.997861938e+02,1.669090823e-03
1.999911652e+02,-4.117916978e-04
2.001961517e+02,6.461556768e-05
2.004011383e+02,-7.865492371e-04
2.006061401e+02,-1.125430717e-04
2.008111572e+02,-3.762914275e-04
2.010161743e+02,9.164684452e-04
2.012212219e+02,1.320963260e-03
2.014262695e+02,-1.227373374e-03
2.016313477e+02,-8.811373118e-05
2.018364258e+02,-3.294741036e-04
2.020415039e+02,-7.075780304e-04
2.022466125e+02,1.338314149e-03
2.024517365e+02,3.602715151e-05
2.026568604e+02,1.771049865e-04
2.028619995e+02,9.001667495e-04
2.030671539e+02,-1.164408866e-03
2.032723236e+02,8.406453999e-04
2.034774933e+02,-7.615872892e-04
2.036826935e+02,-5.174200051e-04
2.038878937e+02,-7.490233402e-04
2.040931091e+02,-3.566665400e-04
2.042983398e+02,-1.089339028e-03
2.045035858e+02,-5.689079408e-04
2.047088318e+02,2.627799986e-04
2.049141083e+02,1.238572877e-04
2.051193848e+02,-6.514271372e-04
2.053246765e+02,-4.002406204e-04
2.055299835e+02,2.272405400e-04
2.057352905e+02,-6.443744060e-04
2.059406281e+02,8.728684043e-04
2.061459656e+02,2.161891200e-03
2.063513184e+02,4.293226812e-04
2.065566864e+02,-1.016271766e-03
2.067620697e+02,3.448042844e-04
2.069674683e+02,8.113888325e-04
2.071728668e+02,9.199148044e-04
2.073782806e+02,-9.765501454e-05
2.075837097e+02,5.799590144e-04
2.077891541e+02,-2.048415627e-04
2.079946136e+02,4.765263002e-04
2.082000732e+02,4.162532277e-04
2.084055634e+02,-5.391380910e-05
2.086110535e+02,-1.962083159e-03
2.088165588e+02,-5.525631714e-04
2.090220795e+02,1.124690680e-04
2.092276001e+02,-1.711412478e-04
2.094331512e+02,9.320890968e-05
2.096387024e+02,8.356802282e-04
2.098442688e+02,-4.446615640e-04
2.100498505e+02,8.272942505e-04
2.102554474e+02,-4.588961310e-04
2.104610443e+02,7.558937068e-04
2.106666718e+02,-8.090194315e-04
2.108722992e+02,-2.449320746e-04
2.110779419e+02,-1.505265594e-03
2.112835999e+02,9.104294586e-04
2.114892578e+02,4.093564348e-05
2.116949463e+02,-9.412144427e-04
2.119006348e+02,-1.035022069e-04
2.121063385e+02,1.264385763e-03
2.123120575e+02,1.766630332e-03
2.125177917e+02,-1.191920834e-03
2.127235260e+02,7.969229482e-04
2.129292908e+02,-1.462713699e-03
2.131350555e+02,-1.356304972e-03
2.133408356e+02,-2.057065023e-03
2.135466309e+02,5.830661976e-04
2.137524261e+02,-4.521571682e-04
2.139582520e+02,-4.949685172e-05
2.141640778e+02,-1.689620549e-03
2.143699188e+02,-6.027942873e-04
2.145757751e+02,-7.098543574e-05
2.147816467e+02,2.264719951e-04
2.149875336e+02,7.469211123e-04
2.151934204e+02,2.206174249e-04
2.153993225e+02,7.102924283e-04
2.156052399e+02,9.764616261e-04
2.158111725e+02,-7.856652373e-04
2.160171204e+02,-2.312223660e-04
2.162230682e+02,-2.570043434e-04
2.164290466e+02,-1.167265233e-03
2.166350250e+02,2.808510035e-04
2.168410187e+02,1.457538019e-04
2.170470123e+02,9.515220299e-04
2.172530365e+02,2.374276082e-04
2.174590607e+02,-1.477572485e-03
2.176651154e+02,9.065029444e-04
2.178711700e+02,9.475365514e-04
2.180772247e+02,3.574962902e-04
2.182833099e+02,2.927309542e-04
2.184894104e+02,-1.354905999e-05
2.186955109e+02,5.489227478e-04
2.189016266e+02,8.460882236e-04
2.191077576e+02,-4.112765600e-04
2.193139038e+02,3.220207000e-04
2.195200500e+02,7.459448534e-05
2.197262115e+02,-3.586293315e-04
2.199324036e+02,-4.940297804e-04
2.201385956e+02,1.185386209e-03
2.203448029e+02,-9.391043568e-04
2.205510101e+02,8.220996096e-05
2.207572479e+02,-4.707597836e-04
2.209634857e+02,1.087084165e-04
2.211697388e+02,6.178658223e-04
2.213760071e+02,-3.515331191e-04
2.215822906e+02,1.880144373e-05
2.217885742e+02,9.144027135e-04
2.219948730e+02,1.249091816e-03
2.222012024e+02,-6.126062945e-04
2.224075317e+02,7.218557294e-04
2.226138611e+02,1.170512522e-03
2.228202209e+02,-4.368015216e-04
2.230265808e+02,-6.114310818e-04
2.232329712e+02,-1.078594709e-03
2.234393616e+02,-7.724112365e-04
2.236457672e+02,8.290577098e-04
2.238521729e+02,3.811140778e-04
2.240586090e+02,1.141084475e-03
2.242650452e+02,5.054413923e-04
2.244714966e+02,-3.456871782e-04
2.246779633e+02,-4.835066648e-05
2.248844452e+02,-1.739703293e-04
2.250909424e+02,-6.963009946e-04
2.252974396e+02,2.759406925e-04
2.255039520e+02,-7.233836368e-05
2.257104797e+02,-5.170550430e-04
2.259170227e+02,4.326275666e-04
2.261235809e+02,7.738347631e-04
2.263301392e+02,-5.179523723e-04
2.265367126e+02,-1.520981168e-04
2.267433014e+02,6.604882074e-04
2.269499054e+02,-6.729591987e-04
2.271565247e+02,4.168065789e-04
2.273631592e+02,4.724846804e-04
2.275697937e+02,1.881003118e-04
2.277764435e+02,-1.743965527e-06
2.279831085e+02,-1.103651128e-03
2.281897888e+02,-1.048447448e-04
2.283964691e+02,6.302691181e-04
2.286031799e+02,5.561339785e-04
2.288098907e+02,5.060426774e-04
2.290166168e+02,2.373326970e-05
2.292233582e+02,-9.492860408e-04
2.294301147e+02,3.233413154e-04
2.296368713e+02,9.435570100e-04
2.298436432e+02,9.349758620e-04
2.300504303e+02,1.130168239e-04
2.302572327e+02,3.530127578e-04
2.304640503e+02,-4.997967044e-04
2.306708679e+02,-1.518729958e-03
2.308777161e+02,-2.288248361e-04
2.310845642e+02,5.697413580e-04
2.312914276e+02,-1.193378586e-03
2.314983063e+02,1.889028237e-03
2.317051849e+02,-4.064117093e-04
2.319120941e+02,-6.065448397e-04
2.321190033e+02,-2.967074688e-04
2.323259277e+02,5.130607751e-04
2.325328674e+02,1.125745825e-03
2.327398071e+02,8.722895873e-04
2.329467773e+02,3.886746417e-04
2.331537476e+02,6.118548336e-04
2.333607330e+02,-7.312274538e-04
2.335677338e+02,6.026987103e-04
2.337747498e+02,-1.432639547e-04
2.339817657e+02,-2.242071059e-04
2.341888123e+02,-1.331090229e-03
2.343958588e+02,1.132439822e-03
2.346029205e+02,-8.758048643e-04
2.348099823e+02,1.476323814e-03
2.350170746e+02,3.174363228e-04
2.352241669e+02,-1.289680804e-04
2.354312897e+02,5.200707819e-04
2.356384125e+02,1.695311861e-03
2.358455353e+02,-1.114977757e-03
2.360526886e+02,1.319502462e-05
2.362598419e+02,1.449406700e-04
2.364670258e+02,-2.497145033e-04
2.366742096e+02,2.375729237e-04
2.368814087e+02,3.042249009e-04
2.370886078e+02,-8.072925848e-04
2.372958374e+02,5.784853129e-04
2.375030670e+02,1.604317076e-04
2.377103119e+02,6.003088783e-04
2.379175720e+02,-3.797097306e-04
2.381248474e+02,7.703641895e-04
2.383321228e+02,1.183130080e-03
2.385394135e+02,4.395472351e-04
2.387467346e+02,-5.865530693e-04
2.389540558e+02,-1.818140852e-03
2.391613770e+02,9.107567603e-04
2.393687286e+02,5.917027011e-04
2.395760803e+02,5.335162277e-04
2.397834473e+02,7.960272342e-05
2.399908295e+02,-1.104325202e-04
2.401982269e+02,-5.596171250e-04
2.404056396e+02,-5.468220334e-04
2.406130524e+02,4.013668222e-04
2.408204803e+02,-6.593365106e-04
2.410279236e+02,1.687618642e-04
2.412353821e+02,-1.833760616e-04
2.414428558e+02,2.411505702e-04
2.416503296e+02,5.124167656e-04
2.418578339e+02,-1.404618146e-03
2.420653381e+02,-8.259940078e-04
2.422728424e+02,1.068815822e-03
2.424803772e+02,-6.849479978e-04
2.426879272e+02,-2.951539936e-04
2.428954773e+02,1.963442483e-04
2.431030426e+02,-7.477845065e-04
2.433106232e+02,-5.517974496e-04
2.435182190e+02,-1.937447087e-04
2.437258148e+02,7.712477236e-04
2.439334259e+02,3.791575000e-05
2.441410675e+02,2.113083465e-04
2.443487091e+02,1.550144749e-03
2.445563507e+02,5.408829893e-04
2.447640228e+02,3.346744634e-04
2.449716949e+02,4.517690686e-04
2.451793823e+02,1.273286063e-03
2.453870850e+02,5.751118879e-04
2.455948029e+02,1.208784743e-04
2.458025360e+02,1.184700304e-04
2.460102692e+02,-2.516162349e-03
2.462180176e+02,1.172522665e-03
2.464257813e+02,-7.358588628e-04
2.466335602e+02,1.239007572e-03
2.468413544e+02,1.394397987e-04
2.470491486e+02,-2.453084162e-04
2.472569580e+02,-7.121611270e-04
2.474647827e+02,5.626567872e-04
2.476726227e+02,9.177415050e-04
2.478804779e+02,6.941970059e-05
2.480883331e+02,-7.349450025e-04
2.482962036e+02,3.820925194e-04
2.485041046e+02,-5.516670062e-04
2.487119904e+02,-2.547377662e-04
2.489199066e+02,1.272064634e-03
2.491278229e+02,-1.238248544e-03
2.493357697e+02,-1.181395026e-03
2.495437164e+02,-4.020683991e-04
2.497516785e+02,-2.406706190e-04
2.499596405e+02,9.215449099e-04
2.501676331e+02,1.279484830e-03
2.503756256e+02,6.580704940e-04
2.505836334e+02,1.059150440e-03
2.507916565e+02,7.321168086e-04
2.509996948e+02,-8.055036305e-04
2.512077332e+02,8.040979737e-04
2.514158020e+02,2.581164008e-04
2.516238708e+02,-2.320916683e-04
2.518319550e+02,9.677819326e-04
2.520400391e+02,7.493152225e-05
2.522481537e+02,3.914132831e-04
2.524562683e+02,-9.037079872e-05
2.526643982e+02,2.125994070e-03
2.528725433e+02,6.010208836e-06
2.530807037e+02,2.151437075e-04
2.532888794e+02,-3.705406561e-05
2.534970551e+02,4.573175393e-04
2.537052460e+02,5.326293176e-04
2.539134521e+02,-1.220643637e-03
2.541216736e+02,5.435068306e-05
2.543298950e+02,-1.338402071e-04
2.545381470e+02,1.337269554e-03
2.547463989e+02,-1.205760520e-03
2.549546661e+02,6.967810332e-04
2.551629333e+02,-2.304128575e-04
2.553712311e+02,6.341637345e-04
2.555795288e+02,-2.637513389e-04
2.557878571e+02,3.519526799e-04
2.559961853e+02,1.285589649e-03
2.562045288e+02,-4.084361717e-04
2.564128723e+02,3.002735029e-04
2.566212463e+02,7.331890520e-04
2.568296204e+02,1.136780833e-03
2.570379944e+02,-5.165391485e-04
2.572463989e+02,1.486426103e-03
2.574548035e+02,1.073463238e-03
2.576632385e+02,-3.457384810e-05
2.578716736e+02,-1.061580726e-03
2.580801392e+02,7.020148332e-04
2.582886047e+02,7.246557507e-04
2.584970703e+02,3.288789885e-04
2.587055359e+02,5.385329132e-04
2.589140625e+02,4.940992221e-04
2.591225586e+02,1.532524126e-03
2.593310852e+02,9.980407776e-04
2.595396118e+02,2.052237105e-04
2.597481689e+02,1.444507507e-03
2.599567261e+02,2.462766424e-04
2.601653137e+02,-4.565979470e-04
2.603738708e+02,-6.864878233e-04
2.605824890e+02,4.938684287e-04
2.607910767e+02,8.957958780e-04
2.609996948e+02,7.168833981e-04
2.612083435e+02,4.871384299e-04
2.614169922e+02,5.071318592e-04
2.616256409e+02,6.092414333e-05
2.618343201e+02,-4.386059009e-04
2.620429993e+02,-2.695998119e-04
2.622516785e+02,4.370765819e-04
2.624603882e+02,-4.736224364e-04
2.626691284e+02,-1.142246983e-04
2.628778381e+02,-1.224769629e-03
2.630865784e+02,-2.492593776e-04
2.632953491e+02,3.660608782e-04
2.635041199e+02,1.241249265e-05
2.637128906e+02,-3.499523445e-04
2.639216919e+02,9.695604676e-04
2.641304932e+02,2.762260847e-04
2.643392944e+02,-1.397531829e-03
2.645481262e+02,-6.120073958e-04
2.647569580e+02,4.003932409e-04
2.649658203e+02,5.219461746e-04
2.651746826e+02,-6.982439081e-04
2.653835754e+02,-1.080551192e-05
2.655924683e+02,7.403801428e-04
2.658013611e+02,9.931080276e-04
2.660102844e+02,6.550899707e-05
2.662192078e+02,1.165465528e-05
2.664281311e+02,-5.182308378e-04
2.666370850e+02,2.005060524e-04
2.668460388e+02,-1.690331410e-04
2.670550232e+02,1.358739100e-04
2.672640076e+02,-5.880296230e-04
2.674729919e+02,4.176916264e-04
2.676820068e+02,-2.590004078e-05
2.678910522e+02,-2.992562077e-04
2.681000671e+02,-8.931971970e-04
2.683091125e+02,-1.277914154e-03
2.685181885e+02,1.259162091e-03
2.687272644e+02,1.148874173e-03
2.689363403e+02,1.031354652e-03
2.691454163e+02,-3.000836296e-04
2.693545532e+02,-4.566223943e-04
2.695636597e+02,-1.536597119e-04
2.697727966e+02,-5.784775713e-04
2.699819336e+02,1.268042601e-03
2.701911011e+02,-1.364744618e-03
2.704002686e+02,-1.274691313e-03
2.706094360e+02,-4.662283754e-04
2.708186340e+02,-1.822839695e-04
2.710278320e+02,4.352621909e-04
2.712370605e+02,-1.148783718e-03
2.714462891e+02,1.440714695e-03
2.716555176e+02,7.602135156e-05
2.718647766e+02,3.849574205e-05
2.720740356e+02,2.692466369e-04
2.722833252e+02,4.942081869e-04
2.724926147e+02,3.755703074e-05
2.727019043e+02,4.909997224e-04
2.729112244e+02,-8.488535968e-05
2.731205444e+02,-3.462781315e-04
2.733298950e+02,1.135081766e-04
2.735392456e+02,6.130467518e-04
2.737485962e+02,-1.659153379e-03
2.739579773e+02,-1.114556144e-04
2.741673584e+02,-5.437899381e-04
2.743767700e+02,1.540696830e-03
2.745861816e+02,5.480564432e-04
2.747955933e+02,4.929312272e-04
2.750050354e+02,-7.227045717e-04
2.752144775e+02,1.980467932e-04
2.754239502e+02,2.777551417e-04
2.756334229e+02,-2.831325110e-04
2.758428955e+02,-1.829466237e-05
2.760523987e+02,-7.110243896e-04
2.762619019e+02,-6.083641201e-04
2.764714355e+02,-6.222327938e-04
2.766809692e+02,3.716566425e-04
2.768905029e+02,2.671012655e-03
2.771000671e+02,-9.367521852e-04
2.773096313e+02,5.307795946e-04
2.775192261e+02,-1.232359355e-04
2.777288208e+02,-5.427498254e-04
2.779384155e+02,-1.341239200e-03
2.781480408e+02,-3.172364086e-04
2.783576660e+02,8.106761961e-04
2.785672913e+02,-6.406501052e-04
2.787769470e+02,-6.908403011e-04
2.789866333e+02,5.991817452e-04
2.791962891e+02,4.626777081e-04
2.794059753e+02,-2.151515102e-03
2.796156921e+02,1.120669185e-03
2.798254089e+02,4.800534516e-04
2.800351257e+02,1.657936082e-04
2.802448730e+02,9.752848564e-05
2.804546204e+02,-2.392239257e-04
2.806643677e+02,3.263045801e-04
2.808741455e+02,-5.296645104e-04
2.810839539e+02,-9.962101467e-04
2.812937317e+02,-2.926255111e-04
2.815035400e+02,-5.657316797e-05
2.817133789e+02,8.820670337e-05
2.819232178e+02,-1.044362434e-03
2.821330566e+02,-1.070486149e-03
2.823429260e+02,1.253282389e-04
2.825527954e+02,-1.020804193e-04
2.827626648e+02,-6.566502270e-04
2.829725647e+02,-3.825691529e-04
2.831824646e+02,9.350508335e-04
2.833923950e+02,-2.080855047e-04
2.836023254e+02,6.821490242e-04
2.838122559e+02,6.015427643e-04
2.840222168e+02,6.092454423e-04
2.842321777e+02,1.559562952e-04
2.844421692e+02,8.081444539e-04
2.846521606e+02,-1.169271764e-05
2.848621521e+02,5.720144254e-04
2.850721741e+02,-7.390426617e-05
2.852821960e+02,-4.371311516e-04
2.854922485e+02,1.092859893e-03
2.857023010e+02,-1.046813442e-03
2.859123535e+02,7.915106835e-06
2.861224365e+02,3.026863269e-04
2.863325195e+02,-4.433367576e-04
2.865426331e+02,8.069630130e-04
2.867527466e+02,-8.474698407e-04
2.869628601e+02,-2.011290489e-04
2.871730042e+02,1.552361646e-03
2.873831482e+02,9.130166145e-04
2.875932922e+02,8.533401415e-04
2.878034668e+02,1.093458384e-03
2.880136719e+02,4.675669188e-04
2.882238464e+02,1.937106252e-03
2.884340515e+02,1.238165773e-03
2.886442871e+02,4.281170841e-04
2.888545227e+02,-3.792001517e-04
2.890647583e+02,1.178752631e-03
2.892750244e+02,-3.975880973e-04
2.894852905e+02,9.662667435e-05
2.896955566e+02,2.350888535e-04
2.899058533e+02,-5.701420014e-04
2.901161499e+02,-2.046394220e-04
2.903264771e+02,1.865155355e-04
2.905368042e+02,4.882442299e-04
2.907471619e+02,-5.128842895e-04
2.909574890e+02,5.031306646e-04
2.911678772e+02,1.285252976e-03
2.913782349e+02,-3.749710449e-04
2.915886230e+02,-1.997588697e-04
2.917990417e+02,1.188363880e-03
2.920094299e+02,7.717745611e-04
2.922198792e+02,-2.632559626e-04
2.924302979e+02,-5.264592473e-04
