Filename:  live_data.mca
Description:  
TimeStamp:  10/29/2021 15:29:25

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	0
26	0
27	1
28	1
29	0
30	0
31	0
32	0
33	0
34	0
35	1
36	0
37	1
38	0
39	0
40	2
41	1
42	0
43	0
44	0
45	1
46	0
47	1
48	0
49	1
50	3
51	1
52	7
53	2
54	1
55	3
56	4
57	5
58	4
59	4
60	5
61	1
62	2
63	6
64	2
65	6
66	3
67	3
68	1
69	1
70	1
71	2
72	3
73	5
74	3
75	2
76	2
77	1
78	2
79	1
80	1
81	0
82	2
83	2
84	5
85	2
86	0
87	1
88	0
89	4
90	2
91	1
92	1
93	1
94	2
95	6
96	2
97	1
98	0
99	0
100	1
101	1
102	0
103	2
104	1
105	1
106	2
107	1
108	2
109	2
110	2
111	2
112	1
113	2
114	0
115	0
116	1
117	2
118	1
119	2
120	0
121	1
122	1
123	1
124	0
125	2
126	0
127	1
128	0
129	1
130	1
131	1
132	2
133	1
134	1
135	1
136	0
137	0
138	2
139	2
140	3
141	1
142	0
143	1
144	0
145	0
146	2
147	0
148	1
149	1
150	1
151	1
152	4
153	0
154	1
155	0
156	2
157	0
158	0
159	0
160	1
161	0
162	0
163	0
164	0
165	0
166	0
167	2
168	1
169	0
170	3
171	1
172	0
173	3
174	2
175	2
176	1
177	6
178	5
179	3
180	4
181	8
182	4
183	1
184	1
185	0
186	1
187	1
188	2
189	1
190	6
191	3
192	6
193	13
194	9
195	13
196	9
197	2
198	3
199	1
200	5
201	2
202	0
203	2
204	6
205	8
206	11
207	12
208	9
209	18
210	8
211	5
212	3
213	3
214	5
215	1
216	1
217	1
218	1
219	0
220	1
221	1
222	0
223	0
224	1
225	0
226	0
227	2
228	0
229	2
230	2
231	4
232	1
233	2
234	3
235	2
236	0
237	0
238	2
239	3
240	0
241	0
242	0
243	0
244	0
245	0
246	0
247	0
248	2
249	0
250	2
251	1
252	0
253	0
254	0
255	1
256	0
257	0
258	0
259	0
260	5
261	0
262	0
263	2
264	0
265	2
266	0
267	0
268	0
269	1
270	0
271	0
272	0
273	1
274	1
275	0
276	1
277	0
278	1
279	1
280	0
281	1
282	1
283	1
284	2
285	1
286	0
287	0
288	2
289	2
290	0
291	0
292	0
293	2
294	1
295	0
296	1
297	1
298	1
299	0
300	1
301	1
302	0
303	0
304	1
305	1
306	2
307	0
308	1
309	1
310	1
311	1
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	2
321	1
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	1
331	3
332	1
333	1
334	2
335	0
336	1
337	0
338	1
339	0
340	0
341	0
342	0
343	3
344	0
345	2
346	0
347	1
348	0
349	0
350	0
351	1
352	0
353	3
354	0
355	1
356	1
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	1
365	1
366	0
367	1
368	3
369	0
370	1
371	1
372	0
373	1
374	1
375	1
376	0
377	0
378	0
379	0
380	0
381	1
382	0
383	1
384	1
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	1
394	0
395	0
396	0
397	0
398	0
399	0
400	1
401	0
402	0
403	0
404	1
405	2
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	2
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	1
424	1
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	3
436	1
437	1
438	2
439	3
440	0
441	1
442	1
443	0
444	1
445	0
446	0
447	2
448	0
449	1
450	0
451	0
452	1
453	0
454	0
455	0
456	1
457	0
458	0
459	2
460	0
461	0
462	1
463	1
464	1
465	0
466	1
467	3
468	1
469	0
470	0
471	0
472	0
473	1
474	2
475	2
476	1
477	1
478	0
479	1
480	0
481	2
482	2
483	1
484	2
485	1
486	1
487	0
488	1
489	0
490	1
491	0
492	1
493	1
494	1
495	0
496	0
497	0
498	0
499	0
500	1
501	1
502	0
503	0
504	0
505	0
506	0
507	1
508	0
509	0
510	1
511	0
512	0
513	0
514	3
515	1
516	1
517	0
518	0
519	0
