Filename:  live_data.mca
Description:  
TimeStamp:  10/29/2021 14:43:37

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	2
22	1
23	0
24	0
25	1
26	0
27	0
28	1
29	0
30	0
31	0
32	0
33	0
34	1
35	0
36	0
37	1
38	0
39	1
40	0
41	0
42	1
43	0
44	2
45	0
46	1
47	1
48	2
49	2
50	4
51	1
52	1
53	3
54	1
55	3
56	4
57	5
58	6
59	1
60	1
61	2
62	5
63	4
64	2
65	2
66	2
67	2
68	2
69	1
70	2
71	5
72	2
73	3
74	6
75	5
76	4
77	1
78	3
79	4
80	2
81	3
82	1
83	4
84	1
85	1
86	2
87	1
88	1
89	1
90	2
91	4
92	2
93	0
94	3
95	0
96	3
97	0
98	1
99	0
100	0
101	1
102	0
103	0
104	1
105	0
106	3
107	0
108	2
109	1
110	3
111	1
112	1
113	2
114	1
115	1
116	1
117	1
118	1
119	2
120	2
121	1
122	1
123	0
124	0
125	1
126	1
127	1
128	0
129	1
130	1
131	4
132	2
133	0
134	2
135	1
136	0
137	0
138	2
139	0
140	1
141	0
142	1
143	2
144	1
145	0
146	1
147	0
148	1
149	0
150	0
151	1
152	0
153	0
154	1
155	1
156	1
157	0
158	1
159	2
160	0
161	1
162	0
163	0
164	1
165	0
166	2
167	2
168	1
169	0
170	0
171	3
172	0
173	1
174	0
175	1
176	1
177	0
178	3
179	7
180	2
181	2
182	3
183	3
184	1
185	0
186	0
187	2
188	0
189	2
190	0
191	2
192	1
193	0
194	0
195	0
196	2
197	0
198	1
199	2
200	0
201	0
202	2
203	2
204	0
205	0
206	0
207	0
208	0
209	1
210	1
211	0
212	0
213	1
214	3
215	1
216	0
217	0
218	0
219	0
220	2
221	1
222	1
223	0
224	0
225	0
226	0
227	0
228	0
229	1
230	2
231	1
232	1
233	0
234	0
235	1
236	3
237	0
238	1
239	0
240	0
241	2
242	0
243	1
244	0
245	0
246	1
247	1
248	1
249	0
250	0
251	1
252	0
253	1
254	0
255	0
256	0
257	0
258	2
259	1
260	0
261	0
262	1
263	0
264	0
265	0
266	2
267	0
268	0
269	0
270	0
271	0
272	0
273	1
274	1
275	0
276	1
277	0
278	1
279	2
280	2
281	1
282	0
283	1
284	0
285	0
286	1
287	0
288	1
289	0
290	0
291	2
292	1
293	1
294	1
295	0
296	1
297	0
298	0
299	0
300	2
301	1
302	2
303	2
304	0
305	1
306	0
307	0
308	1
309	0
310	1
311	0
312	1
313	1
314	0
315	0
316	0
317	0
318	1
319	0
320	1
321	0
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	1
330	2
331	0
332	3
333	0
334	0
335	1
336	0
337	0
338	0
339	1
340	1
341	0
342	0
343	0
344	0
345	0
346	1
347	2
348	1
349	0
350	0
351	0
352	0
353	0
354	1
355	1
356	0
357	0
358	1
359	1
360	2
361	0
362	2
363	1
364	0
365	0
366	0
367	1
368	1
369	0
370	1
371	1
372	0
373	3
374	0
375	1
376	2
377	1
378	1
379	1
380	1
381	1
382	0
383	2
384	1
385	1
386	0
387	0
388	0
389	1
390	0
391	2
392	0
393	0
394	0
395	3
396	0
397	1
398	1
399	1
400	1
401	0
402	1
403	1
404	0
405	3
406	0
407	1
408	1
409	0
410	0
411	0
412	3
413	3
414	0
415	0
416	0
417	1
418	1
419	0
420	0
421	0
422	1
423	0
424	0
425	1
426	1
427	1
428	0
429	0
430	0
431	0
432	0
433	0
434	2
435	0
436	2
437	0
438	0
439	0
440	1
441	1
442	0
443	1
444	1
445	0
446	1
447	0
448	1
449	0
450	0
451	0
452	0
453	2
454	1
455	0
456	0
457	0
458	0
459	1
460	0
461	1
462	1
463	1
464	3
465	2
466	0
467	1
468	0
469	0
470	0
471	0
472	0
473	2
474	1
475	1
476	0
477	1
478	1
479	2
480	1
481	0
482	3
483	1
484	0
485	0
486	0
487	1
488	0
489	0
490	1
491	1
492	1
493	0
494	0
495	0
496	1
497	0
498	1
499	2
500	2
501	3
502	1
503	2
504	2
505	1
506	2
507	1
508	0
509	1
510	2
511	1
512	2
513	3
514	0
515	0
516	0
517	2
518	0
519	2
