Filename:  live_data.mca
Description:  
TimeStamp:  10/29/2021 14:27:44

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	1
23	1
24	3
25	3
26	1
27	0
28	0
29	0
30	0
31	0
32	0
33	1
34	0
35	0
36	0
37	0
38	2
39	0
40	1
41	0
42	2
43	0
44	2
45	1
46	2
47	1
48	3
49	2
50	2
51	1
52	4
53	3
54	3
55	4
56	3
57	2
58	6
59	4
60	5
61	6
62	4
63	0
64	7
65	5
66	3
67	4
68	4
69	1
70	5
71	4
72	3
73	4
74	5
75	4
76	3
77	4
78	1
79	7
80	2
81	3
82	1
83	1
84	2
85	0
86	3
87	1
88	2
89	3
90	2
91	1
92	3
93	2
94	3
95	2
96	3
97	4
98	1
99	2
100	2
101	1
102	1
103	2
104	0
105	2
106	0
107	0
108	0
109	2
110	2
111	1
112	1
113	4
114	0
115	1
116	1
117	2
118	2
119	1
120	0
121	1
122	1
123	0
124	1
125	0
126	1
127	2
128	1
129	2
130	1
131	4
132	0
133	0
134	3
135	1
136	0
137	4
138	0
139	1
140	1
141	3
142	0
143	0
144	4
145	2
146	0
147	0
148	0
149	1
150	0
151	0
152	0
153	0
154	2
155	1
156	1
157	0
158	0
159	1
160	0
161	0
162	2
163	1
164	3
165	0
166	0
167	2
168	1
169	0
170	0
171	0
172	2
173	0
174	1
175	1
176	0
177	5
178	2
179	8
180	5
181	7
182	4
183	0
184	3
185	0
186	1
187	1
188	1
189	1
190	1
191	0
192	0
193	2
194	2
195	1
196	1
197	1
198	2
199	0
200	4
201	4
202	2
203	1
204	0
205	1
206	1
207	0
208	1
209	0
210	2
211	2
212	0
213	0
214	0
215	2
216	0
217	0
218	0
219	1
220	0
221	4
222	1
223	2
224	2
225	0
226	0
227	1
228	0
229	0
230	0
231	1
232	0
233	2
234	0
235	0
236	1
237	1
238	1
239	2
240	0
241	0
242	0
243	1
244	1
245	1
246	0
247	2
248	0
249	2
250	0
251	0
252	2
253	0
254	0
255	0
256	0
257	1
258	1
259	1
260	1
261	1
262	1
263	2
264	2
265	1
266	2
267	1
268	0
269	0
270	1
271	0
272	1
273	2
274	0
275	0
276	0
277	0
278	0
279	1
280	0
281	1
282	2
283	3
284	1
285	1
286	1
287	0
288	1
289	0
290	1
291	0
292	1
293	1
294	1
295	2
296	3
297	1
298	2
299	1
300	0
301	0
302	0
303	0
304	1
305	0
306	2
307	0
308	1
309	0
310	0
311	1
312	0
313	0
314	0
315	1
316	0
317	2
318	0
319	0
320	0
321	1
322	1
323	1
324	0
325	0
326	0
327	2
328	1
329	1
330	0
331	1
332	0
333	1
334	0
335	2
336	0
337	1
338	1
339	1
340	1
341	0
342	2
343	1
344	1
345	2
346	0
347	2
348	1
349	1
350	1
351	0
352	1
353	0
354	1
355	1
356	0
357	0
358	1
359	1
360	0
361	0
362	1
363	1
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	1
372	1
373	0
374	0
375	0
376	0
377	1
378	2
379	0
380	2
381	0
382	0
383	1
384	1
385	1
386	0
387	0
388	0
389	0
390	0
391	1
392	0
393	0
394	0
395	1
396	1
397	0
398	1
399	0
400	1
401	0
402	0
403	1
404	0
405	0
406	0
407	2
408	0
409	0
410	1
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	1
419	1
420	0
421	0
422	0
423	1
424	1
425	0
426	1
427	1
428	0
429	1
430	2
431	0
432	0
433	0
434	1
435	2
436	0
437	0
438	2
439	0
440	1
441	1
442	0
443	1
444	0
445	1
446	0
447	1
448	1
449	0
450	0
451	1
452	1
453	0
454	0
455	0
456	0
457	1
458	1
459	1
460	1
461	0
462	0
463	1
464	0
465	2
466	1
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	1
475	0
476	1
477	0
478	1
479	0
480	1
481	1
482	1
483	0
484	3
485	0
486	1
487	1
488	0
489	0
490	1
491	0
492	2
493	0
494	1
495	1
496	3
497	1
498	0
499	1
500	0
501	0
502	2
503	0
504	0
505	0
506	3
507	1
508	0
509	0
510	0
511	1
512	2
513	0
514	2
515	0
516	1
517	0
518	1
519	1
