Filename:  live_data.mca
Description:  
TimeStamp:  10/29/2021 14:02:22

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	2
22	2
23	0
24	3
25	2
26	0
27	1
28	1
29	1
30	1
31	0
32	0
33	0
34	0
35	0
36	3
37	0
38	0
39	0
40	2
41	0
42	1
43	0
44	0
45	0
46	1
47	2
48	2
49	1
50	2
51	5
52	4
53	2
54	3
55	7
56	6
57	5
58	7
59	1
60	5
61	4
62	6
63	3
64	4
65	4
66	3
67	6
68	5
69	2
70	2
71	3
72	2
73	1
74	1
75	2
76	1
77	2
78	3
79	4
80	3
81	2
82	5
83	3
84	2
85	1
86	4
87	1
88	1
89	1
90	2
91	2
92	4
93	2
94	4
95	0
96	0
97	0
98	2
99	3
100	4
101	2
102	1
103	2
104	3
105	2
106	1
107	0
108	3
109	1
110	2
111	1
112	0
113	0
114	1
115	2
116	2
117	2
118	3
119	3
120	1
121	0
122	0
123	1
124	1
125	1
126	0
127	2
128	1
129	0
130	0
131	1
132	0
133	2
134	2
135	0
136	0
137	0
138	1
139	1
140	1
141	0
142	3
143	1
144	0
145	2
146	1
147	2
148	2
149	1
150	0
151	1
152	0
153	2
154	1
155	0
156	0
157	1
158	0
159	1
160	2
161	0
162	0
163	1
164	0
165	2
166	1
167	2
168	0
169	2
170	1
171	1
172	1
173	1
174	2
175	0
176	0
177	1
178	0
179	1
180	5
181	2
182	2
183	4
184	1
185	0
186	4
187	4
188	2
189	5
190	9
191	12
192	13
193	17
194	19
195	20
196	15
197	12
198	5
199	2
200	0
201	0
202	4
203	1
204	0
205	0
206	0
207	1
208	1
209	4
210	1
211	6
212	1
213	2
214	0
215	2
216	4
217	3
218	1
219	1
220	0
221	1
222	0
223	1
224	0
225	0
226	1
227	2
228	1
229	1
230	0
231	1
232	2
233	1
234	1
235	2
236	1
237	0
238	1
239	0
240	2
241	1
242	0
243	0
244	0
245	3
246	0
247	0
248	1
249	0
250	0
251	2
252	2
253	1
254	0
255	0
256	1
257	1
258	1
259	0
260	1
261	0
262	2
263	1
264	0
265	0
266	0
267	0
268	0
269	0
270	1
271	1
272	0
273	0
274	0
275	1
276	1
277	0
278	0
279	0
280	0
281	0
282	0
283	0
284	1
285	0
286	1
287	0
288	0
289	1
290	0
291	0
292	1
293	2
294	2
295	0
296	1
297	1
298	0
299	2
300	1
301	0
302	2
303	0
304	1
305	0
306	0
307	1
308	1
309	1
310	1
311	3
312	0
313	2
314	0
315	1
316	0
317	1
318	3
319	1
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	0
328	1
329	0
330	0
331	1
332	0
333	0
334	0
335	2
336	0
337	0
338	0
339	1
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	0
348	1
349	1
350	0
351	0
352	1
353	1
354	0
355	1
356	2
357	1
358	0
359	3
360	0
361	0
362	0
363	0
364	0
365	2
366	0
367	1
368	0
369	0
370	0
371	1
372	0
373	1
374	1
375	0
376	0
377	0
378	0
379	1
380	2
381	1
382	0
383	0
384	0
385	1
386	0
387	1
388	0
389	1
390	0
391	0
392	1
393	0
394	1
395	2
396	2
397	0
398	0
399	0
400	0
401	1
402	0
403	1
404	1
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	1
413	0
414	0
415	0
416	2
417	0
418	3
419	0
420	1
421	1
422	1
423	0
424	0
425	1
426	0
427	0
428	0
429	0
430	0
431	0
432	1
433	0
434	0
435	1
436	0
437	0
438	1
439	1
440	1
441	0
442	0
443	0
444	0
445	1
446	0
447	0
448	1
449	1
450	1
451	1
452	0
453	1
454	0
455	0
456	0
457	0
458	2
459	2
460	1
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	3
469	1
470	0
471	0
472	0
473	0
474	0
475	1
476	2
477	2
478	2
479	0
480	1
481	0
482	0
483	1
484	1
485	2
486	0
487	2
488	0
489	1
490	0
491	0
492	0
493	0
494	1
495	0
496	0
497	1
498	1
499	0
500	0
501	0
502	0
503	1
504	0
505	1
506	0
507	1
508	0
509	0
510	2
511	0
512	0
513	0
514	0
515	0
516	0
517	1
518	1
519	2
