Filename:  live_data.mca
Description:  
TimeStamp:  10/29/2021 13:49:16

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	1
21	4
22	0
23	0
24	0
25	0
26	1
27	0
28	0
29	0
30	1
31	0
32	0
33	0
34	1
35	0
36	1
37	0
38	1
39	0
40	1
41	2
42	0
43	0
44	1
45	1
46	0
47	4
48	1
49	0
50	2
51	0
52	2
53	2
54	1
55	2
56	5
57	0
58	4
59	5
60	2
61	2
62	7
63	2
64	6
65	3
66	5
67	3
68	3
69	1
70	1
71	5
72	3
73	4
74	4
75	5
76	0
77	4
78	4
79	1
80	2
81	3
82	4
83	2
84	3
85	2
86	1
87	0
88	4
89	1
90	1
91	0
92	1
93	3
94	2
95	2
96	3
97	0
98	1
99	3
100	0
101	2
102	1
103	0
104	1
105	5
106	0
107	1
108	2
109	1
110	0
111	0
112	0
113	1
114	0
115	0
116	2
117	0
118	2
119	1
120	0
121	2
122	1
123	0
124	1
125	0
126	2
127	1
128	2
129	1
130	0
131	2
132	1
133	3
134	0
135	0
136	0
137	0
138	2
139	0
140	0
141	1
142	1
143	1
144	0
145	1
146	1
147	1
148	1
149	0
150	8
151	3
152	15
153	16
154	20
155	12
156	13
157	8
158	5
159	4
160	1
161	1
162	0
163	2
164	4
165	0
166	1
167	1
168	2
169	1
170	4
171	4
172	3
173	3
174	1
175	1
176	0
177	2
178	4
179	6
180	4
181	4
182	4
183	2
184	2
185	1
186	0
187	2
188	1
189	0
190	4
191	1
192	0
193	0
194	0
195	0
196	1
197	0
198	2
199	0
200	3
201	0
202	1
203	2
204	1
205	1
206	2
207	1
208	2
209	1
210	2
211	2
212	2
213	1
214	0
215	1
216	0
217	0
218	3
219	0
220	1
221	1
222	1
223	0
224	1
225	1
226	0
227	2
228	1
229	0
230	0
231	0
232	0
233	2
234	0
235	1
236	0
237	0
238	0
239	0
240	0
241	0
242	0
243	0
244	0
245	1
246	0
247	0
248	0
249	1
250	0
251	1
252	1
253	1
254	1
255	0
256	0
257	0
258	2
259	1
260	0
261	1
262	1
263	0
264	0
265	0
266	0
267	3
268	0
269	1
270	3
271	0
272	2
273	1
274	1
275	0
276	0
277	0
278	1
279	1
280	1
281	0
282	1
283	2
284	0
285	0
286	0
287	2
288	1
289	1
290	1
291	0
292	0
293	3
294	0
295	0
296	1
297	1
298	1
299	1
300	1
301	0
302	1
303	1
304	0
305	0
306	0
307	2
308	1
309	0
310	1
311	1
312	1
313	0
314	1
315	1
316	0
317	0
318	1
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	3
327	1
328	1
329	1
330	0
331	0
332	0
333	1
334	2
335	1
336	0
337	1
338	1
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	2
347	1
348	1
349	2
350	0
351	1
352	0
353	0
354	1
355	2
356	1
357	0
358	1
359	0
360	0
361	1
362	0
363	0
364	1
365	1
366	0
367	2
368	0
369	2
370	0
371	1
372	2
373	1
374	0
375	0
376	2
377	0
378	0
379	1
380	0
381	1
382	0
383	0
384	0
385	0
386	1
387	0
388	1
389	1
390	0
391	1
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	1
400	0
401	0
402	1
403	1
404	2
405	0
406	0
407	0
408	2
409	2
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	3
418	0
419	0
420	1
421	2
422	0
423	0
424	0
425	0
426	1
427	0
428	1
429	0
430	1
431	0
432	0
433	0
434	0
435	0
436	1
437	0
438	0
439	1
440	0
441	0
442	0
443	1
444	0
445	0
446	0
447	2
448	2
449	0
450	0
451	2
452	0
453	0
454	0
455	0
456	3
457	0
458	1
459	1
460	0
461	0
462	1
463	2
464	1
465	0
466	2
467	1
468	0
469	0
470	1
471	0
472	0
473	2
474	0
475	0
476	1
477	0
478	1
479	2
480	0
481	3
482	3
483	0
484	0
485	1
486	1
487	1
488	1
489	0
490	1
491	0
492	1
493	3
494	0
495	0
496	0
497	0
498	0
499	1
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	1
508	0
509	0
510	0
511	1
512	1
513	1
514	1
515	0
516	0
517	0
518	1
519	1
