Filename:  live_data.mca
Description:  
TimeStamp:  10/29/2021 15:05:14

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	1
21	0
22	0
23	0
24	0
25	1
26	0
27	0
28	0
29	0
30	1
31	1
32	0
33	0
34	0
35	0
36	0
37	1
38	0
39	0
40	0
41	0
42	1
43	0
44	1
45	0
46	1
47	1
48	2
49	1
50	5
51	1
52	4
53	1
54	1
55	5
56	2
57	2
58	5
59	5
60	7
61	4
62	2
63	4
64	3
65	0
66	3
67	0
68	4
69	2
70	3
71	2
72	2
73	1
74	6
75	3
76	3
77	6
78	3
79	1
80	5
81	3
82	1
83	5
84	3
85	3
86	2
87	6
88	2
89	2
90	0
91	3
92	2
93	1
94	0
95	1
96	0
97	3
98	1
99	2
100	3
101	2
102	0
103	2
104	0
105	1
106	0
107	2
108	4
109	1
110	1
111	0
112	0
113	1
114	1
115	1
116	1
117	2
118	0
119	1
120	2
121	0
122	1
123	2
124	1
125	3
126	0
127	1
128	1
129	0
130	0
131	2
132	0
133	1
134	2
135	0
136	3
137	0
138	1
139	0
140	0
141	1
142	1
143	0
144	1
145	1
146	0
147	0
148	1
149	1
150	3
151	2
152	1
153	1
154	1
155	1
156	3
157	0
158	1
159	0
160	0
161	0
162	0
163	0
164	0
165	1
166	1
167	2
168	0
169	1
170	1
171	2
172	1
173	1
174	2
175	3
176	0
177	1
178	1
179	2
180	3
181	3
182	5
183	2
184	2
185	1
186	1
187	0
188	0
189	1
190	0
191	0
192	0
193	0
194	0
195	1
196	1
197	2
198	0
199	4
200	1
201	0
202	0
203	1
204	2
205	3
206	0
207	2
208	1
209	0
210	3
211	2
212	2
213	0
214	1
215	2
216	1
217	0
218	0
219	0
220	0
221	0
222	1
223	0
224	1
225	0
226	1
227	2
228	1
229	0
230	1
231	1
232	1
233	4
234	7
235	13
236	14
237	21
238	23
239	13
240	15
241	6
242	3
243	4
244	0
245	1
246	1
247	1
248	0
249	1
250	1
251	3
252	2
253	0
254	1
255	0
256	1
257	3
258	2
259	1
260	1
261	3
262	4
263	4
264	2
265	4
266	2
267	2
268	0
269	0
270	2
271	1
272	1
273	0
274	1
275	1
276	0
277	2
278	0
279	1
280	0
281	3
282	0
283	0
284	0
285	0
286	0
287	0
288	1
289	1
290	0
291	0
292	2
293	2
294	1
295	0
296	0
297	0
298	1
299	0
300	0
301	1
302	1
303	0
304	0
305	0
306	0
307	1
308	0
309	0
310	1
311	0
312	1
313	0
314	0
315	0
316	0
317	0
318	0
319	1
320	0
321	0
322	1
323	1
324	3
325	1
326	1
327	0
328	2
329	1
330	0
331	0
332	0
333	2
334	2
335	1
336	2
337	0
338	1
339	0
340	0
341	0
342	2
343	1
344	0
345	0
346	1
347	1
348	1
349	3
350	0
351	1
352	1
353	0
354	0
355	1
356	0
357	1
358	1
359	3
360	0
361	0
362	0
363	0
364	1
365	2
366	0
367	0
368	2
369	1
370	1
371	0
372	0
373	0
374	1
375	2
376	0
377	1
378	0
379	1
380	0
381	0
382	0
383	0
384	1
385	0
386	1
387	0
388	1
389	0
390	0
391	1
392	0
393	1
394	0
395	2
396	0
397	1
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	1
410	0
411	1
412	1
413	0
414	0
415	0
416	0
417	1
418	0
419	1
420	1
421	1
422	1
423	2
424	0
425	1
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	1
434	0
435	0
436	0
437	0
438	0
439	1
440	0
441	1
442	4
443	0
444	0
445	0
446	1
447	0
448	0
449	0
450	1
451	1
452	1
453	0
454	0
455	0
456	1
457	0
458	1
459	0
460	2
461	0
462	1
463	0
464	1
465	0
466	0
467	0
468	1
469	2
470	0
471	0
472	1
473	0
474	0
475	1
476	2
477	0
478	1
479	0
480	0
481	1
482	0
483	0
484	2
485	1
486	0
487	1
488	2
489	0
490	0
491	2
492	0
493	2
494	1
495	0
496	0
497	0
498	1
499	0
500	0
501	2
502	0
503	0
504	1
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	2
514	0
515	0
516	2
517	2
518	1
519	3
