Filename:  live_data.mca
Description:  
TimeStamp:  10/29/2021 13:36:44

Spectral Data Information
Channel	Data
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	1
21	2
22	1
23	1
24	0
25	1
26	1
27	0
28	0
29	0
30	0
31	0
32	1
33	0
34	1
35	0
36	0
37	1
38	0
39	2
40	0
41	0
42	2
43	0
44	0
45	0
46	2
47	0
48	1
49	3
50	2
51	3
52	1
53	2
54	3
55	1
56	3
57	1
58	1
59	3
60	4
61	7
62	4
63	5
64	3
65	3
66	1
67	9
68	4
69	4
70	3
71	0
72	3
73	4
74	6
75	3
76	3
77	5
78	5
79	5
80	3
81	2
82	2
83	3
84	2
85	3
86	2
87	1
88	1
89	0
90	1
91	3
92	1
93	2
94	0
95	4
96	2
97	2
98	2
99	1
100	2
101	1
102	1
103	6
104	0
105	1
106	1
107	0
108	1
109	0
110	1
111	1
112	1
113	0
114	3
115	3
116	0
117	0
118	0
119	0
120	1
121	0
122	3
123	1
124	0
125	0
126	0
127	1
128	0
129	1
130	3
131	1
132	3
133	0
134	1
135	2
136	0
137	2
138	0
139	1
140	1
141	2
142	1
143	1
144	0
145	0
146	0
147	1
148	1
149	1
150	0
151	1
152	1
153	0
154	0
155	1
156	1
157	0
158	0
159	0
160	1
161	0
162	2
163	1
164	3
165	1
166	0
167	0
168	2
169	0
170	0
171	0
172	3
173	1
174	0
175	0
176	2
177	3
178	4
179	1
180	9
181	4
182	3
183	3
184	3
185	0
186	1
187	1
188	1
189	0
190	0
191	0
192	0
193	0
194	0
195	1
196	1
197	3
198	1
199	3
200	0
201	2
202	1
203	2
204	0
205	0
206	1
207	0
208	0
209	1
210	1
211	0
212	4
213	0
214	0
215	1
216	0
217	1
218	0
219	0
220	2
221	0
222	0
223	1
224	0
225	1
226	0
227	1
228	0
229	1
230	0
231	1
232	0
233	0
234	0
235	2
236	2
237	2
238	1
239	0
240	0
241	1
242	0
243	0
244	0
245	0
246	1
247	0
248	0
249	1
250	1
251	1
252	0
253	0
254	0
255	0
256	0
257	0
258	0
259	0
260	1
261	0
262	0
263	1
264	0
265	0
266	1
267	0
268	0
269	0
270	2
271	0
272	1
273	2
274	0
275	0
276	0
277	2
278	0
279	0
280	2
281	2
282	0
283	1
284	0
285	0
286	0
287	0
288	1
289	1
290	1
291	0
292	0
293	1
294	1
295	2
296	1
297	1
298	0
299	0
300	2
301	0
302	2
303	2
304	2
305	3
306	1
307	2
308	0
309	3
310	0
311	2
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	1
320	0
321	0
322	0
323	1
324	1
325	0
326	0
327	0
328	0
329	0
330	1
331	0
332	1
333	0
334	0
335	0
336	1
337	1
338	0
339	0
340	0
341	1
342	1
343	3
344	0
345	0
346	1
347	1
348	1
349	0
350	0
351	0
352	0
353	0
354	1
355	0
356	1
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	1
365	1
366	0
367	0
368	1
369	0
370	0
371	1
372	0
373	2
374	1
375	0
376	0
377	0
378	1
379	0
380	0
381	1
382	0
383	2
384	2
385	1
386	0
387	0
388	2
389	0
390	1
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	1
400	0
401	0
402	0
403	0
404	1
405	1
406	0
407	0
408	0
409	0
410	0
411	2
412	2
413	1
414	0
415	1
416	0
417	0
418	0
419	0
420	2
421	1
422	1
423	1
424	1
425	1
426	0
427	0
428	1
429	0
430	0
431	1
432	0
433	0
434	1
435	0
436	1
437	1
438	0
439	0
440	1
441	0
442	2
443	1
444	0
445	1
446	2
447	1
448	2
449	0
450	0
451	2
452	1
453	0
454	0
455	1
456	0
457	0
458	2
459	0
460	0
461	0
462	0
463	0
464	1
465	1
466	0
467	0
468	1
469	0
470	1
471	0
472	0
473	2
474	0
475	0
476	0
477	2
478	1
479	2
480	1
481	0
482	1
483	0
484	0
485	0
486	0
487	0
488	1
489	1
490	0
491	1
492	0
493	0
494	0
495	1
496	1
497	0
498	0
499	2
500	0
501	2
502	0
503	2
504	0
505	1
506	1
507	2
508	2
509	0
510	0
511	1
512	0
513	0
514	2
515	2
516	3
517	1
518	1
519	1
