No.	Pos. [°2Th.]	FWHM [°2Th.]	Area calc.	Assignment	h	k	l	Multiplicity	F obs.	F calc.	Area [cts*°2Th.]	Derivation	Backgr.[cts]	d-spacing [Å]	Height [cts]	K-A2 / K-A1 Ratio	Matched	Matched by	Rel. Int. [%]	Source	Status

1	36,3094	0,1181	0,0000						0,000000	0,000000	121,23	Mixed K-Alpha1 / K-Alpha2	86,74	2,47426	1040,81		True	00-003-0879; 00-003-0884; 00-005-0667	26,46	Search Peaks	Included
2	39,0345	0,1181	0,0000						0,000000	0,000000	90,02	Mixed K-Alpha1 / K-Alpha2	89,00	2,30757	772,84		True	00-001-1117; 00-002-1041; 00-003-0867; 00-005-0661; 00-001-0378	19,65	Search Peaks	Included
3	43,2657	0,2362	0,0000						0,000000	0,000000	916,27	Mixed K-Alpha1 / K-Alpha2	96,00	2,09121	3933,17		False		100,00	Search Peaks	Included
4	50,4396	0,2362	0,0000						0,000000	0,000000	243,68	Mixed K-Alpha1 / K-Alpha2	92,00	1,80933	1046,03		False		26,60	Search Peaks	Included
5	54,2974	0,1181	0,0000						0,000000	0,000000	83,39	Mixed K-Alpha1 / K-Alpha2	93,00	1,68954	715,92		True	00-001-0213; 00-001-0378	18,20	Search Peaks	Included
6	70,0567	0,1440	0,0000						0,000000	0,000000	214,15	Pure K-Alpha1	103,00	1,34203	1115,35		True	00-001-0154; 00-001-0213	28,36	Search Peaks	Included
7	70,2746	0,0960	0,0000						0,000000	0,000000	75,28	Pure K-Alpha2	104,00	1,34173	588,14		False		14,95	Search Peaks	Included
8	70,6290	0,1440	0,0000						0,000000	0,000000	141,70	Pure K-Alpha1	104,00	1,33255	738,02		False		18,76	Search Peaks	Included
9	74,0899	0,1440	0,0000						0,000000	0,000000	94,21	Pure K-Alpha1	102,00	1,27863	490,68		True	00-001-1142; 00-002-1067; 00-003-0892; 00-001-0117	12,48	Search Peaks	Included
10	74,3387	0,1440	0,0000						0,000000	0,000000	55,87	Pure K-Alpha2	102,00	1,27814	290,98		False		7,40	Search Peaks	Included
