#osci	iMeasureCycle=1	iMux=0	time=0	N=699	LocalTime=03/11/2021 19:13:26
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
9.99999	2.30514E-08	0.08598	1E-07	-1.54E-12	0.08598
9.99999	2.11858E-08	0.151352	-1E-07	-1.7E-12	0.151352
9.99999	2.0367E-08	0.190809	-1E-07	-1.54E-12	0.190809
9.99999	1.97023E-08	0.233159	1E-07	-1.73E-12	0.233159
9.99999	1.88925E-08	0.291705	1E-07	-1.81E-12	0.291705
9.99999	1.83301E-08	0.343639	0	-1.65E-12	0.343639
9.99999	1.80797E-08	0.371934	-3E-07	-1.41E-12	0.371934
9.99999	1.78454E-08	0.400165	1E-07	-1.72E-12	0.400165
9.99999	1.75128E-08	0.43956	2E-07	-1.58E-12	0.43956
9.99999	1.73102E-08	0.467783	1E-07	-1.6E-12	0.467783
9.99999	1.71349E-08	0.495917	-1E-07	-1.69E-12	0.495917
9.99999	1.68431E-08	0.54617	0	-1.76E-12	0.54617
9.99999	1.65901E-08	0.595597	0	-1.63E-12	0.595597
9.99999	1.63991E-08	0.645917	-1E-07	-1.91E-12	0.645917
9.99999	1.6172E-08	0.698911	1E-07	-1.88E-12	0.698911
9.99999	1.59984E-08	0.746182	-3E-07	-1.56E-12	0.746182
9.99999	1.58208E-08	0.795848	1E-07	-1.58E-12	0.795848
9.99999	1.56798E-08	0.84613	0	-1.75E-12	0.84613
9.99999	1.555E-08	0.896114	2E-07	-1.87E-12	0.896114
9.99999	1.53964E-08	0.946206	1E-07	-1.75E-12	0.946206
9.99999	1.52628E-08	0.995747	0	-1.74E-12	0.995747
9.99999	1.51584E-08	1.045534	0	-1.63E-12	1.045534
9.99999	1.5059E-08	1.096168	0	-1.84E-12	1.096168
9.99999	1.49485E-08	1.145755	1E-07	-1.69E-12	1.145755
9.99999	1.48689E-08	1.195856	-1E-07	-1.96E-12	1.195856
9.99999	1.47721E-08	1.245747	-1E-07	-1.7E-12	1.245747
9.99999	1.46836E-08	1.296112	-2E-07	-1.57E-12	1.296112
9.99999	1.46175E-08	1.34571	0	-1.5E-12	1.34571
9.99999	1.45593E-08	1.396231	1E-07	-1.6E-12	1.396231
9.99999	1.44624E-08	1.447323	1E-07	-1.81E-12	1.447323
9.99999	1.44036E-08	1.497816	1E-07	-1.7E-12	1.497816
9.99999	1.43316E-08	1.548576	1E-07	-1.6E-12	1.548576
9.99999	1.42919E-08	1.599657	-1E-07	-1.76E-12	1.599657
9.99999	1.42398E-08	1.650905	0	-1.73E-12	1.650905
9.99999	1.41732E-08	1.700821	1E-07	-1.89E-12	1.700821
9.99999	1.41207E-08	1.751357	-1E-07	-1.71E-12	1.751357
9.99999	1.40841E-08	1.80233	1E-07	-1.79E-12	1.80233
9.99999	1.40214E-08	1.851701	-1E-07	-1.6E-12	1.851701
9.99999	1.39756E-08	1.90217	3E-07	-1.63E-12	1.90217
9.99999	1.3938E-08	1.951827	0	-1.81E-12	1.951827
9.99999	1.39056E-08	2.001759	-1E-07	-1.54E-12	2.001759
9.99999	1.38752E-08	2.051538	1E-07	-1.92E-12	2.051538
9.99999	1.3825E-08	2.101572	-1E-07	-1.43E-12	2.101572
9.99999	1.38086E-08	2.152666	2E-07	-1.37E-12	2.152666
9.99999	1.37604E-08	2.202934	0	-1.77E-12	2.202934
9.99999	1.37241E-08	2.252474	0	-1.45E-12	2.252474
9.99999	1.37057E-08	2.302923	-1E-07	-1.59E-12	2.302923
9.99999	1.3676E-08	2.352434	-2E-07	-1.67E-12	2.352434
