#scan	iMeasureCycle=1	iMux=0	time=0.024	N=201	LocalTime=03/11/2021 18:59:45
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
1E-07	-2.1646E-10	0.190236	0.1000001	-1E-14	0.190236
-0.2	-1.23936E-09	0.311748	0.0999999	-6E-13	0.311748
-0.4	-2.28749E-09	0.432912	0.1000001	-9.8E-13	0.432912
-0.6	-3.3808E-09	0.554101	0.0999999	-6.9E-13	0.554101
-0.8	-4.53126E-09	0.675272	0.0999999	-8.7E-13	0.675272
-1	-5.7599E-09	0.796463	0.1000002	-1.12E-12	0.796463
-1.2	-7.06208E-09	0.917684	0.0999998	-7.7E-13	0.917684
-1.399999	-8.41029E-09	1.038977	0.1000001	-1.07E-12	1.038977
-1.600001	-9.7916E-09	1.184653	0.0999998	-8.6E-13	1.184653
-1.8	-1.1089E-08	1.307032	0.1	-9.9E-13	1.307032
-2	-1.22525E-08	1.429422	0.1	-1.22E-12	1.429422
-2.2	-1.32432E-08	1.55179	0.0999998	-1.15E-12	1.55179
-2.4	-1.40198E-08	1.674106	0.1	-7.9E-13	1.674106
-2.6	-1.48027E-08	1.796457	0.0999999	-1.07E-12	1.796457
-2.8	-1.5688E-08	1.918852	0.0999998	-8.8E-13	1.918852
-3	-1.65956E-08	2.041253	0.0999999	-8.8E-13	2.041253
-3.2	-1.7589E-08	2.163613	0.1	-8.9E-13	2.163613
-3.4	-1.81509E-08	2.286041	0.0999998	-9.6E-13	2.286041
-3.6	-1.89579E-08	2.408417	0.1	-8.8E-13	2.408417
-3.8	-1.97933E-08	2.530811	0.0999999	-9.2E-13	2.530811
-4	-2.06054E-08	2.65315	0.0999998	-1.07E-12	2.65315
-4.2	-2.1188E-08	2.775514	0.0999998	-1.09E-12	2.775514
-4.4	-2.16048E-08	2.897934	0.1000001	-1.09E-12	2.897934
-4.6	-2.19698E-08	3.020355	0.1	-8E-13	3.020355
-4.8	-2.25403E-08	3.142697	0.1000002	-1.05E-12	3.142697
-5	-2.28095E-08	3.265069	0.0999999	-1.17E-12	3.265069
-5.2	-2.3127E-08	3.387534	0.1	-1.06E-12	3.387534
-5.4	-2.3647E-08	3.509892	0.0999999	-1.05E-12	3.509892
-5.6	-2.47468E-08	3.632277	0.0999998	-1.19E-12	3.632277
-5.8	-2.50823E-08	3.756796	0.1	-9.9E-13	3.756796
-6	-2.53027E-08	3.879189	0.0999997	-9.5E-13	3.879189
-6.2	-2.56929E-08	4.001539	0.0999998	-1.01E-12	4.001539
-6.4	-2.63014E-08	4.123959	0.1000001	-1.2E-12	4.123959
-6.59999	-2.75803E-08	4.257799	0.1000001	-1.39E-12	4.257799
-6.8	-2.82921E-08	4.380185	0.1	-1.12E-12	4.380185
-7	-2.83912E-08	4.502514	0.1	-7.8E-13	4.502514
-7.2	-2.84744E-08	4.624899	0.1	-9.8E-13	4.624899
-7.4	-2.91574E-08	4.75896	0.0999998	-1.09E-12	4.75896
