#scan	iMeasureCycle=1	iMux=0	time=0.032	N=201	LocalTime=03/11/2021 19:00:50
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	-1.3715E-10	0.198292	0.0999999	-4.1E-13	0.198292
-0.2	-2.96684E-09	0.319807	0.0999999	-4.1E-13	0.319807
-0.4	-6.23126E-09	0.441019	0.0999998	-6.5E-13	0.441019
-0.600001	-9.5189E-09	0.586796	0.1	-7.4E-13	0.586796
-0.8	-1.28761E-08	0.709145	0.1000001	-6.1E-13	0.709145
-1	-1.62938E-08	0.847847	0.1	-9.5E-13	0.847847
-1.2	-1.9916E-08	0.970164	0.1000001	-1.18E-12	0.970164
-1.4	-2.35617E-08	1.092599	0.1000002	-1.09E-12	1.092599
-1.6	-2.74218E-08	1.214992	0.1	-1.01E-12	1.214992
-1.8	-3.09523E-08	1.349825	0.1	-1.02E-12	1.349825
-2.000001	-3.37565E-08	1.472192	0.0999998	-7.7E-13	1.472192
-2.2	-3.66052E-08	1.594579	0.1	-9.9E-13	1.594579
-2.4	-3.91795E-08	1.716912	0.0999998	-7.6E-13	1.716912
-2.6	-4.14925E-08	1.850788	0.0999998	-7E-13	1.850788
-2.8	-4.42417E-08	1.973113	0.1	-8.7E-13	1.973113
-3	-4.75902E-08	2.095543	0.1	-6.9E-13	2.095543
-3.2	-5.07336E-08	2.217953	0.0999999	-9.1E-13	2.217953
-3.4	-5.2949E-08	2.351765	0.0999999	-1.51E-12	2.351765
-3.6	-5.52987E-08	2.474143	0.1000002	-9.7E-13	2.474143
-3.8	-5.76277E-08	2.596539	0.1000001	-1.21E-12	2.596539
-4	-5.95157E-08	2.718878	0.1	-8.5E-13	2.718878
-4.2	-6.09522E-08	2.851682	0.1	-9.5E-13	2.851682
-4.4	-6.32557E-08	2.974005	0.0999999	-8.4E-13	2.974005
-4.6	-6.48785E-08	3.096424	0.0999999	-8.8E-13	3.096424
-4.8	-6.82367E-08	3.218799	0.0999998	-1.09E-12	3.218799
-5	-6.95916E-08	3.353727	0.0999997	-7.3E-13	3.353727
-5.2	-7.12654E-08	3.47609	0.1000001	-1.11E-12	3.47609
-5.4	-7.29282E-08	3.59849	0.0999999	-8.1E-13	3.59849
-5.6	-7.38634E-08	3.720826	0.0999999	-1.07E-12	3.720826
-5.8	-7.55063E-08	3.854642	0.1	-1.03E-12	3.854642
-6	-7.76707E-08	3.976977	0.1	-9.4E-13	3.976977
-6.2	-8.0154E-08	4.099406	0.1	-1.25E-12	4.099406
-6.4	-8.20284E-08	4.221822	0.0999999	-9.3E-13	4.221822
-6.6	-8.12887E-08	4.354601	0.1	-1.19E-12	4.354601
-6.8	-8.06579E-08	4.476972	0.1	-1.37E-12	4.476972
-7	-8.25676E-08	4.599362	0.1	-1.13E-12	4.599362
-7.2	-8.4811E-08	4.721704	0.0999998	-7.9E-13	4.721704
-7.4	-8.67228E-08	4.855542	0.0999999	-8.2E-13	4.855542
-7.6	-8.85799E-08	4.97788	0.1	-1.18E-12	4.97788
-7.8	-8.98753E-08	5.100304	0.0999998	-9.7E-13	5.100304
-8	-9.09444E-08	5.222707	0.0999998	-1.17E-12	5.222707
-8.2	-9.37002E-08	5.356509	0.0999997	-1.18E-12	5.356509
-8.4	-9.47797E-08	5.478885	0.1000001	-1.24E-12	5.478885
-8.6	-9.61174E-08	5.601291	0.0999999	-1.53E-12	5.601291
-8.8	-9.72928E-08	5.723633	0.1	-1.1E-12	5.723633
-9	-9.58672E-08	5.857445	0.0999999	-1.14E-12	5.857445
-9.2	-1.009381E-07	5.979862	0.0999999	-9E-13	5.979862
-9.4	-9.8143E-08	6.111181	0.0999999	-8.2E-13	6.111181
-9.6	-1.00237E-07	6.27457	0.0999999	-1.01E-12	6.27457
-9.8	-1.16049E-07	6.397006	0.0999998	-1.11E-12	6.397006
-10	-9.0026E-08	6.519409	0.0999999	-1.07E-12	6.519409
-9.8	-9.6955E-08	6.64178	0.1000001	-1.15E-12	6.64178
-9.6	-1.21556E-07	6.771606	0.0999998	-9.6E-13	6.771606
-9.4	-9.3084E-08	6.894043	0.1	-1.29E-12	6.894043
-9.2	-1.17743E-07	7.016389	0.1	-1.37E-12	7.016389
-9	-1.23709E-07	7.138763	0.0999998	-1E-12	7.138763
-8.8	-9.6835E-08	7.314842	0.1	-1.3E-12	7.314842
-8.6	-8.3015E-08	7.437243	0.0999999	-1.49E-12	7.437243
-8.4	-6.89712E-08	7.576858	0.1	-1.4E-12	7.576858
-8.20001	-6.31683E-08	7.699309	0.1	-1.38E-12	7.699309
-8.00001	-6.26383E-08	7.821676	0.1000002	-1.54E-12	7.821676
-7.8	-6.42262E-08	7.944061	0.0999999	-1.14E-12	7.944061
-7.6	-6.42063E-08	8.066409	0.0999999	-1.27E-12	8.066409
-7.40001	-6.24725E-08	8.188911	0.1	-1.44E-12	8.188911
-7.20001	-5.68776E-08	8.311284	0.1	-1.47E-12	8.311284
-7.00001	-5.49141E-08	8.433657	0.0999998	-1.09E-12	8.433657
-6.80001	-5.33761E-08	8.556006	0.0999999	-1.17E-12	8.556006
-6.60001	-5.32867E-08	8.678371	0.1	-1.3E-12	8.678371
-6.40001	-5.32122E-08	8.800752	0.0999999	-1.39E-12	8.800752
-6.2	-5.30827E-08	8.923254	0.0999999	-1.12E-12	8.923254
-6.00001	-5.10306E-08	9.04557	0.1	-1.08E-12	9.04557
-5.80001	-4.93931E-08	9.167952	0.0999999	-1.12E-12	9.167952
-5.60001	-4.83451E-08	9.290321	0.0999998	-1.09E-12	9.290321
-5.40001	-4.76917E-08	9.412706	0.0999998	-1.09E-12	9.412706
-5.20001	-4.52487E-08	9.535096	0.0999997	-1.18E-12	9.535096
-5.00001	-4.31401E-08	9.657437	0.0999998	-1.17E-12	9.657437
-4.8	-4.14612E-08	9.779809	0.0999999	-1.4E-12	9.779809
-4.60001	-3.95996E-08	9.902277	0.0999998	-1.23E-12	9.902277
-4.40001	-3.66564E-08	10.024621	0.1	-1.18E-12	10.024621
-4.20001	-3.53944E-08	10.146998	0.1000001	-1.23E-12	10.146998
-4.00001	-3.46788E-08	10.278641	0.0999999	-1.36E-12	10.278641
-3.80001	-3.28446E-08	10.401032	0.0999999	-1.22E-12	10.401032
-3.60001	-3.08939E-08	10.523386	0.1000001	-1.16E-12	10.523386
-3.40001	-2.83231E-08	10.645745	0.0999999	-1.31E-12	10.645745
-3.20001	-2.68826E-08	10.779671	0.1	-1.39E-12	10.779671
-3.00001	-2.49779E-08	10.902121	0.0999999	-1.36E-12	10.902121
-2.80001	-2.31871E-08	11.024423	0.0999999	-1.39E-12	11.024423
-2.60001	-2.14541E-08	11.14689	0.0999997	-1.27E-12	11.14689
-2.40001	-1.98401E-08	11.280959	0.0999999	-1.41E-12	11.280959
-2.20001	-1.78341E-08	11.403334	0.0999998	-1.12E-12	11.403334
-2	-1.58486E-08	11.525708	0.1	-1.05E-12	11.525708
-1.8	-1.40101E-08	11.648099	0.0999999	-1.12E-12	11.648099
-1.600001	-1.22546E-08	11.781831	0.0999999	-1.28E-12	11.781831
-1.4	-1.03697E-08	11.904296	0.0999999	-1.39E-12	11.904296
-1.200001	-8.5563E-09	12.069733	0.1	-1.51E-12	12.069733
-1.000001	-6.63334E-09	12.206998	0.0999999	-8.6E-13	12.206998
-0.800001	-4.68008E-09	12.328195	0.0999998	-1.78E-12	12.328195
-0.600001	-2.77773E-09	12.449419	0.0999998	-1.24E-12	12.449419
-0.400001	-9.1181E-10	12.570624	0.1000001	-1.4E-12	12.570624
-0.1999999	8.9784E-10	12.691816	0.0999998	-1.35E-12	12.691816
1E-07	2.59479E-09	12.81303	0.1	-1.25E-12	12.81303
0.2000004	4.2851E-09	12.934247	0.0999997	-1.37E-12	12.934247
0.399999	6.17045E-09	13.055412	0.0999998	-1.01E-12	13.055412
0.599999	8.3522E-09	13.201093	0.0999999	-1.47E-12	13.201093
0.799999	1.09095E-08	13.323448	0.0999997	-1.62E-12	13.323448
0.999998	1.42805E-08	13.445932	0.0999997	-1.58E-12	13.445932
1.199999	1.78154E-08	13.56851	0.1	-1.06E-12	13.56851
1.399999	2.09875E-08	13.690885	0.0999999	-1.36E-12	13.690885
1.599999	2.39043E-08	13.813266	0.0999998	-1.24E-12	13.813266
1.799999	2.67146E-08	13.935646	0.0999999	-1.4E-12	13.935646
1.999999	2.93102E-08	14.057967	0.0999999	-1.34E-12	14.057967
2.19999	3.19153E-08	14.180381	0.0999999	-1.54E-12	14.180381
2.39999	3.45329E-08	14.30274	0.0999998	-1.49E-12	14.30274
2.59999	3.72971E-08	14.425148	0.0999999	-1.47E-12	14.425148
2.79999	3.99058E-08	14.54751	0.1000001	-1.72E-12	14.54751
2.99999	4.39146E-08	14.669885	0.0999998	-1.24E-12	14.669885
3.19999	4.61968E-08	14.792269	0.0999998	-1.25E-12	14.792269
3.39999	4.83695E-08	14.9147	0.1	-1.26E-12	14.9147
3.59999	5.0758E-08	15.037047	0.0999998	-1.46E-12	15.037047
3.79999	5.34407E-08	15.159409	0.0999997	-1.13E-12	15.159409
3.99999	5.63624E-08	15.288874	0.0999998	-1.24E-12	15.288874
4.19999	5.85775E-08	15.411254	0.1000001	-1.29E-12	15.411254
4.39999	6.15109E-08	15.533613	0.0999999	-1.47E-12	15.533613
4.59999	6.44381E-08	15.656	0.1	-8.6E-13	15.656
4.79999	6.59227E-08	15.789632	0.1	-9E-13	15.789632
4.99999	6.74989E-08	15.912093	0.1	-1.15E-12	15.912093
5.19999	6.87309E-08	16.034414	0.1000001	-1.43E-12	16.034414
5.39999	6.95271E-08	16.156797	0.0999999	-1.17E-12	16.156797
