#scan	iMeasureCycle=1	iMux=0	time=0.033	N=201	LocalTime=03/11/2021 19:04:36
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	6.91E-11	0.199185	0.1000001	-1E-13	0.199185
-0.2000002	-1.82393E-09	0.320778	0.0999999	-1.9E-13	0.320778
-0.4	-3.68647E-09	0.441992	0.1000002	-8.9E-13	0.441992
-0.6	-5.56692E-09	0.563172	0.1	-9.6E-13	0.563172
-0.8	-7.47925E-09	0.684321	0.1	-1.09E-12	0.684321
-1.000001	-9.4337E-09	0.829984	0.1000001	-8.6E-13	0.829984
-1.2	-1.14576E-08	0.952397	0.1	-7.7E-13	0.952397
-1.4	-1.3546E-08	1.074718	0.0999999	-1.13E-12	1.074718
-1.6	-1.58243E-08	1.197114	0.0999999	-9.2E-13	1.197114
-1.8	-1.84066E-08	1.319481	0.1000001	-1.45E-12	1.319481
-2	-2.11714E-08	1.441877	0.0999999	-9.8E-13	1.441877
-2.2	-2.40306E-08	1.564346	0.1	-9.7E-13	1.564346
-2.4	-2.72596E-08	1.686685	0.1000002	-1.12E-12	1.686685
-2.6	-3.0204E-08	1.809041	0.1	-8.5E-13	1.809041
-2.8	-3.31442E-08	1.931422	0.1000001	-6.3E-13	1.931422
-3	-3.64334E-08	2.05375	0.1000003	-9.1E-13	2.05375
-3.2	-3.97141E-08	2.176143	0.1	-1.12E-12	2.176143
-3.4	-4.3055E-08	2.298587	0.0999999	-1.34E-12	2.298587
-3.6	-4.59837E-08	2.420982	0.1000001	-1.21E-12	2.420982
-3.8	-4.85768E-08	2.543367	0.1000002	-1.07E-12	2.543367
-4	-5.09928E-08	2.665702	0.0999999	-7.1E-13	2.665702
-4.2	-5.30496E-08	2.788091	0.1	-8.6E-13	2.788091
-4.4	-5.52324E-08	2.910492	0.1000001	-1.04E-12	2.910492
-4.6	-5.67529E-08	3.032815	0.0999999	-1.3E-12	3.032815
-4.8	-5.84443E-08	3.155211	0.0999999	-1.17E-12	3.155211
-5	-6.00562E-08	3.277579	0.1	-1.08E-12	3.277579
-5.2	-6.13837E-08	3.399971	0.1	-1.26E-12	3.399971
-5.4	-6.27159E-08	3.522394	0.1000001	-1.39E-12	3.522394
-5.6	-6.39535E-08	3.644718	0.1	-1.34E-12	3.644718
-5.8	-6.54798E-08	3.767101	0.1000001	-1.17E-12	3.767101
