#scan	iMeasureCycle=1	iMux=0	time=0.034	N=201	LocalTime=03/11/2021 19:06:49
#VGate(V)	IGate(A)	time(s)	VDrain(V)	IDrain(A)	time(s)
-2E-07	5.864E-11	0.200085	0.1000001	-1E-14	0.200085
-0.2000003	-6.5233E-09	0.321646	0.1	-7.4E-13	0.321646
-0.4	-1.3935E-08	0.467402	0.1	-1.04E-12	0.467402
-0.6	-2.30201E-08	0.589781	0.0999999	-1.22E-12	0.589781
-0.8	-3.33908E-08	0.712086	0.1000001	-1.21E-12	0.712086
-1	-4.44376E-08	0.850208	0.1000001	-1.02E-12	0.850208
-1.200001	-5.5839E-08	0.972599	0.1000001	-1.38E-12	0.972599
-1.400001	-6.7284E-08	1.094935	0.1000001	-1.3E-12	1.094935
-1.600001	-7.85438E-08	1.217259	0.1	-1.23E-12	1.217259
-1.800001	-8.95588E-08	1.351407	0.1000001	-1.23E-12	1.351407
-2.000001	-1.008762E-07	1.473805	0.1	-9.8E-13	1.473805
-2.2	-1.12419E-07	1.605021	0.1	-1.55E-12	1.605021
-2.4	-1.24549E-07	1.761182	0.1000002	-1.55E-12	1.761182
-2.6	-1.3699E-07	1.883582	0.0999999	-1.41E-12	1.883582
-2.8	-1.50299E-07	2.005963	0.0999999	-1.45E-12	2.005963
-3	-1.63672E-07	2.128259	0.1000001	-1.44E-12	2.128259
-3.2	-1.77235E-07	2.26369	0.1000002	-1.13E-12	2.26369
-3.4	-1.91062E-07	2.386167	0.1	-1.28E-12	2.386167
-3.6	-2.05191E-07	2.508573	0.1000001	-1.12E-12	2.508573
-3.8	-2.19027E-07	2.630966	0.1	-1.48E-12	2.630966
-4	-2.3224E-07	2.765123	0.1	-1.53E-12	2.765123
-4.2	-2.44581E-07	2.88752	0.0999999	-1.33E-12	2.88752
-4.4	-2.55053E-07	3.009891	0.1	-1.32E-12	3.009891
-4.6	-2.65442E-07	3.13224	0.1000003	-1.54E-12	3.13224
-4.8	-2.74964E-07	3.266204	0.1000001	-1.51E-12	3.266204
-5	-2.84846E-07	3.388588	0.1000001	-1.64E-12	3.388588
-5.2	-2.94595E-07	3.511018	0.1000001	-1.69E-12	3.511018
-5.4	-3.02989E-07	3.633398	0.1000002	-1.66E-12	3.633398
-5.6	-3.11518E-07	3.767051	0.1000003	-1.48E-12	3.767051
-5.8	-3.18893E-07	3.889453	0.1000001	-1.65E-12	3.889453
-6	-3.2628E-07	4.011844	0.1	-1.59E-12	4.011844
-6.2	-3.34642E-07	4.134159	0.1000001	-1.26E-12	4.134159
-6.4	-3.41727E-07	4.267888	0.1	-1.37E-12	4.267888
-6.6	-3.48839E-07	4.390326	0.0999999	-1.64E-12	4.390326
-6.8	-3.55222E-07	4.512742	0.1	-1.54E-12	4.512742
-7	-3.62534E-07	4.635178	0.0999998	-1.66E-12	4.635178
-7.2	-3.66056E-07	4.768979	0.1	-1.3E-12	4.768979
-7.4	-3.68967E-07	4.891384	0.1	-1.44E-12	4.891384
-7.6	-3.75392E-07	5.013783	0.1000002	-1.39E-12	5.013783
-7.8	-3.78428E-07	5.13612	0.0999999	-1.36E-12	5.13612
-8	-3.82884E-07	5.269976	0.1000002	-1.48E-12	5.269976
-8.2	-3.90298E-07	5.392359	0.1	-1.49E-12	5.392359
-8.4	-4.00029E-07	5.514795	0.1	-1.52E-12	5.514795
-8.6	-4.0663E-07	5.63717	0.0999999	-1.39E-12	5.63717
-8.8	-4.09397E-07	5.766774	0.1000001	-1.59E-12	5.766774
-9	-4.11904E-07	5.889177	0.1	-1.37E-12	5.889177
-9.2	-4.15465E-07	6.011555	0.0999999	-1.34E-12	6.011555
-9.4	-4.21834E-07	6.133892	0.0999999	-1.51E-12	6.133892
-9.6	-4.22133E-07	6.266732	0.1000001	-1.3E-12	6.266732
-9.8	-4.22282E-07	6.389167	0.1000002	-1.47E-12	6.389167
-10	-4.29684E-07	6.511545	0.0999999	-1.72E-12	6.511545
-9.8	-4.20629E-07	6.633926	0.1000002	-1.8E-12	6.633926
-9.6	-4.08863E-07	6.772076	0.1	-1.42E-12	6.772076
-9.4	-3.97328E-07	6.894482	0.0999999	-1.42E-12	6.894482
-9.2	-3.88141E-07	7.016836	0.1	-1.27E-12	7.016836
-9	-3.81419E-07	7.139182	0.0999998	-1.51E-12	7.139182
