Vernier Format 2
Nuovo file.cmbl 01/12/2021 17:06:58 .
Ultimo
Tempo	Tensione 1	Tensione 2	Tensione 3	Tensione 4	R1	R2	R3	Temperature
t	Tens 1	Tens 2	Tens 3	Tens 4	R1	R2	R3	T
s	V	V	V	V	Ω	Ω	Ω	K

0	1.45177	0.0622711	2.3199	2.9768	145.177	6.22711	2.3199	297.68
10	1.45177	0.0622711	2.32112	2.97558	145.177	6.22711	2.32112	297.558
20	1.45055	0.0622711	2.3199	2.97558	145.055	6.22711	2.3199	297.558
30	1.45177	0.0622711	2.32112	2.9768	145.177	6.22711	2.32112	297.68
40	1.45665	0.0622711	2.3199	2.9768	145.665	6.22711	2.3199	297.68
50	1.46276	0.0634921	2.31868	2.97558	146.276	6.34921	2.31868	297.558
60	1.46886	0.0622711	2.31746	2.97558	146.886	6.22711	2.31746	297.558
70	1.47497	0.0622711	2.31746	2.97436	147.497	6.22711	2.31746	297.436
80	1.48107	0.0634921	2.31502	2.97192	148.107	6.34921	2.31502	297.192
90	1.48718	0.0622711	2.31502	2.97192	148.718	6.22711	2.31502	297.192
100	1.49084	0.0634921	2.31258	2.96948	149.084	6.34921	2.31258	296.948
110	1.49573	0.0622711	2.31136	2.96825	149.573	6.22711	2.31136	296.825
120	1.50183	0.0634921	2.31013	2.96581	150.183	6.34921	2.31013	296.581
130	1.50672	0.0622711	2.30769	2.96459	150.672	6.22711	2.30769	296.459
140	1.51282	0.0622711	2.30647	2.96215	151.282	6.22711	2.30647	296.215
150	1.51893	0.0622711	2.30403	2.95971	151.893	6.22711	2.30403	295.971
160	1.52503	0.0622711	2.30159	2.95849	152.503	6.22711	2.30159	295.849
170	1.53114	0.0622711	2.29915	2.95482	153.114	6.22711	2.29915	295.482
180	1.53724	0.0622711	2.2967	2.95238	153.724	6.22711	2.2967	295.238
190	1.54335	0.0622711	2.29426	2.95116	154.335	6.22711	2.29426	295.116
200	1.54945	0.0622711	2.29304	2.9475	154.945	6.22711	2.29304	294.75
210	1.55678	0.0622711	2.2906	2.94628	155.678	6.22711	2.2906	294.628
220	1.56288	0.0622711	2.28816	2.94017	156.288	6.22711	2.28816	294.017
230	1.57021	0.0622711	2.28449	2.93895	157.021	6.22711	2.28449	293.895
240	1.57753	0.0622711	2.28205	2.93529	157.753	6.22711	2.28205	293.529
250	1.58364	0.0610501	2.27961	2.93162	158.364	6.10501	2.27961	293.162
260	1.58974	0.0610501	2.27717	2.92918	158.974	6.10501	2.27717	292.918
270	1.59707	0.0610501	2.27473	2.92552	159.707	6.10501	2.27473	292.552
280	1.60317	0.0610501	2.27228	2.92186	160.317	6.10501	2.27228	292.186
290	1.6105	0.0610501	2.26984	2.91941	161.05	6.10501	2.26984	291.941
300	1.61661	0.0610501	2.26618	2.91575	161.661	6.10501	2.26618	291.575
310	1.62393	0.0598291	2.26374	2.91209	162.393	5.98291	2.26374	291.209
320	1.63004	0.0610501	2.26129	2.90843	163.004	6.10501	2.26129	290.843
330	1.63614	0.0610501	2.25885	2.90476	163.614	6.10501	2.25885	290.476
340	1.64225	0.0610501	2.25641	2.9011	164.225	6.10501	2.25641	290.11
350	1.64835	0.0610501	2.25275	2.89866	164.835	6.10501	2.25275	289.866
360	1.65446	0.0598291	2.24908	2.89377	165.446	5.98291	2.24908	289.377
370	1.66056	0.0598291	2.24664	2.89011	166.056	5.98291	2.24664	289.011
380	1.66545	0.0598291	2.24298	2.88645	166.545	5.98291	2.24298	288.645
390	1.67155	0.0598291	2.24054	2.88278	167.155	5.98291	2.24054	288.278
400	1.67643	0.0598291	2.23687	2.87912	167.643	5.98291	2.23687	287.912
410	1.68254	0.0598291	2.23443	2.87546	168.254	5.98291	2.23443	287.546
420	1.68742	0.0610501	2.23077	2.87179	168.742	6.10501	2.23077	287.179
430	1.69231	0.0598291	2.22833	2.86691	169.231	5.98291	2.22833	286.691
440	1.69719	0.0598291	2.22466	2.86325	169.719	5.98291	2.22466	286.325
450	1.70085	0.0598291	2.22222	2.85959	170.085	5.98291	2.22222	285.959
460	1.70574	0.0586081	2.21856	2.85592	170.574	5.86081	2.21856	285.592
470	1.71062	0.0586081	2.2149	2.85226	171.062	5.86081	2.2149	285.226
480	1.71429	0.0586081	2.21368	2.8486	171.429	5.86081	2.21368	284.86
490	1.71795	0.0586081	2.21001	2.84371	171.795	5.86081	2.21001	284.371
500	1.72039	0.0586081	2.20635	2.84127	172.039	5.86081	2.20635	284.127
510	1.72527	0.0586081	2.20391	2.83761	172.527	5.86081	2.20391	283.761
520	1.72772	0.0586081	2.19902	2.83394	172.772	5.86081	2.19902	283.394
530	1.73138	0.0586081	2.19658	2.83028	173.138	5.86081	2.19658	283.028
540	1.73382	0.0586081	2.19292	2.8254	173.382	5.86081	2.19292	282.54
550	1.73626	0.0586081	2.19048	2.82173	173.626	5.86081	2.19048	282.173
560	1.73871	0.0586081	2.18681	2.81685	173.871	5.86081	2.18681	281.685
570	1.74115	0.0586081	2.18437	2.81319	174.115	5.86081	2.18437	281.319
580	1.74237	0.0573871	2.18071	2.8083	174.237	5.73871	2.18071	280.83
590	1.74603	0.0573871	2.17705	2.80586	174.603	5.73871	2.17705	280.586
600	1.74603	0.0573871	2.1746	2.8022	174.603	5.73871	2.1746	280.22
610	1.74847	0.0573871	2.17094	2.79853	174.847	5.73871	2.17094	279.853
620	1.74969	0.0573871	2.16728	2.79365	174.969	5.73871	2.16728	279.365
630	1.75092	0.0573871	2.16484	2.78877	175.092	5.73871	2.16484	278.877
640	1.75092	0.0573871	2.16239	2.7851	175.092	5.73871	2.16239	278.51
650	1.75214	0.0561661	2.15873	2.78144	175.214	5.61661	2.15873	278.144
660	1.75336	0.0573871	2.15507	2.77656	175.336	5.73871	2.15507	277.656
670	1.75336	0.0561661	2.15263	2.77289	175.336	5.61661	2.15263	277.289
680	1.75336	0.0561661	2.14896	2.76923	175.336	5.61661	2.14896	276.923
690	1.75336	0.0561661	2.14774	2.76557	175.336	5.61661	2.14774	276.557
700	1.75458	0.0561661	2.14408	2.7619	175.458	5.61661	2.14408	276.19
710	1.75458	0.0561661	2.13919	2.75702	175.458	5.61661	2.13919	275.702
720	1.75458	0.0573871	2.13553	2.75458	175.458	5.73871	2.13553	275.458
730	1.75336	0.0573871	2.13187	2.74847	175.336	5.73871	2.13187	274.847
740	1.75214	0.0561661	2.12821	2.74481	175.214	5.61661	2.12821	274.481
750	1.75092	0.0561661	2.12332	2.73871	175.092	5.61661	2.12332	273.871
760	1.74969	0.0561661	2.11966	2.73626	174.969	5.61661	2.11966	273.626
770	1.74847	0.0561661	2.11477	2.73016	174.847	5.61661	2.11477	273.016
780	1.74725	0.0549451	2.10989	2.72527	174.725	5.49451	2.10989	272.527
790	1.74481	0.0561661	2.10501	2.71917	174.481	5.61661	2.10501	271.917
800	1.74237	0.0561661	2.10134	2.71306	174.237	5.61661	2.10134	271.306
810	1.74115	0.0549451	2.09524	2.70696	174.115	5.49451	2.09524	270.696
820	1.73748	0.0549451	2.09035	2.70085	173.748	5.49451	2.09035	270.085
830	1.73504	0.0549451	2.08547	2.69475	173.504	5.49451	2.08547	269.475
840	1.73138	0.0537241	2.08059	2.68864	173.138	5.37241	2.08059	268.864
850	1.72772	0.0537241	2.07448	2.68254	172.772	5.37241	2.07448	268.254
860	1.72405	0.0537241	2.0696	2.67521	172.405	5.37241	2.0696	267.521
870	1.72039	0.0549451	2.06349	2.66911	172.039	5.49451	2.06349	266.911
880	1.71673	0.0537241	2.05861	2.663	171.673	5.37241	2.05861	266.3
890	1.71306	0.0537241	2.05372	2.6569	171.306	5.37241	2.05372	265.69
900	1.70818	0.0525031	2.04762	2.64835	170.818	5.25031	2.04762	264.835
910	1.7033	0.0537241	2.04151	2.64225	170.33	5.37241	2.04151	264.225
920	1.69841	0.0537241	2.03541	2.63492	169.841	5.37241	2.03541	263.492
930	1.69353	0.0525031	2.0293	2.62882	169.353	5.25031	2.0293	262.882
940	1.68864	0.0525031	2.02442	2.62027	168.864	5.25031	2.02442	262.027
950	1.68376	0.0525031	2.01832	2.61294	168.376	5.25031	2.01832	261.294
960	1.67766	0.0512821	2.01343	2.60684	167.766	5.12821	2.01343	260.684
970	1.67277	0.0525031	2.00733	2.60073	167.277	5.25031	2.00733	260.073
980	1.66545	0.0512821	2.00122	2.59341	166.545	5.12821	2.00122	259.341
990	1.66056	0.0512821	1.99512	2.58486	166.056	5.12821	1.99512	258.486
1000	1.65446	0.0512821	1.98901	2.57875	165.446	5.12821	1.98901	257.875
1010	1.64957	0.0512821	1.98413	2.57143	164.957	5.12821	1.98413	257.143
1020	1.64347	0.0512821	1.97802	2.56288	164.347	5.12821	1.97802	256.288
1030	1.63736	0.0500611	1.97192	2.55678	163.736	5.00611	1.97192	255.678
1040	1.63126	0.0500611	1.96581	2.55067	163.126	5.00611	1.96581	255.067
1050	1.62515	0.0500611	1.96093	2.54335	162.515	5.00611	1.96093	254.335
1060	1.61905	0.0500611	1.95482	2.53602	161.905	5.00611	1.95482	253.602
1070	1.61294	0.0512821	1.94872	2.52869	161.294	5.12821	1.94872	252.869
1080	1.60684	0.0500611	1.94383	2.52137	160.684	5.00611	1.94383	252.137
1090	1.60073	0.04884	1.93773	2.51404	160.073	4.884	1.93773	251.404
1100	1.59463	0.04884	1.93162	2.50794	159.463	4.884	1.93162	250.794
1110	1.58852	0.04884	1.92674	2.49939	158.852	4.884	1.92674	249.939
1120	1.58242	0.04884	1.92063	2.49328	158.242	4.884	1.92063	249.328
1130	1.57631	0.04884	1.91575	2.48596	157.631	4.884	1.91575	248.596
1140	1.57021	0.047619	1.90965	2.47985	157.021	4.7619	1.90965	247.985
1150	1.5641	0.04884	1.90476	2.47253	156.41	4.884	1.90476	247.253
1160	1.558	0.047619	1.89866	2.46764	155.8	4.7619	1.89866	246.764
1170	1.55189	0.047619	1.89377	2.46032	155.189	4.7619	1.89377	246.032
1180	1.54701	0.047619	1.88889	2.45421	154.701	4.7619	1.88889	245.421
1190	1.5409	0.047619	1.88278	2.44689	154.09	4.7619	1.88278	244.689
1200	1.5348	0.047619	1.87668	2.44078	153.48	4.7619	1.87668	244.078
1210	1.52869	0.046398	1.87302	2.43468	152.869	4.6398	1.87302	243.468
1220	1.52381	0.046398	1.86691	2.42857	152.381	4.6398	1.86691	242.857
1230	1.51893	0.046398	1.86203	2.42125	151.893	4.6398	1.86203	242.125
1240	1.51282	0.046398	1.85714	2.41514	151.282	4.6398	1.85714	241.514
